sector,C,fold,accuracy,f1_macro,n_samples
Basic Materials,0.01,1,0.2926470588235294,0.1509290860826697,680
Basic Materials,0.01,2,0.36470588235294116,0.3183044731135381,680
Basic Materials,0.01,3,0.4294117647058823,0.3264989072006616,680
Basic Materials,0.01,4,0.2926470588235294,0.1509290860826697,680
Basic Materials,0.01,5,0.37058823529411766,0.30885585016029726,680
Basic Materials,0.03162277660168379,1,0.3352941176470588,0.2586640930289062,680
Basic Materials,0.03162277660168379,2,0.32941176470588235,0.2871608594140513,680
Basic Materials,0.03162277660168379,3,0.39705882352941174,0.30136140411091067,680
Basic Materials,0.03162277660168379,4,0.3588235294117647,0.3229440527367284,680
Basic Materials,0.03162277660168379,5,0.375,0.3486903249955459,680
Basic Materials,0.1,1,0.35441176470588237,0.30727456259750885,680
Basic Materials,0.1,2,0.3352941176470588,0.26730878982363654,680
Basic Materials,0.1,3,0.4279411764705882,0.38124174251706605,680
Basic Materials,0.1,4,0.38529411764705884,0.36989154841990296,680
Basic Materials,0.1,5,0.42205882352941176,0.4060227815552806,680
Basic Materials,0.31622776601683794,1,0.36617647058823527,0.326455970434561,680
Basic Materials,0.31622776601683794,2,0.3338235294117647,0.28127829682885463,680
Basic Materials,0.31622776601683794,3,0.4308823529411765,0.39308664217195616,680
Basic Materials,0.31622776601683794,4,0.39558823529411763,0.3865396037417679,680
Basic Materials,0.31622776601683794,5,0.40441176470588236,0.3902164257822471,680
Basic Materials,1.0,1,0.35,0.31515678032394967,680
Basic Materials,1.0,2,0.34852941176470587,0.3166388527769326,680
Basic Materials,1.0,3,0.4235294117647059,0.38689962211745565,680
Basic Materials,1.0,4,0.3941176470588235,0.37869883179360936,680
Basic Materials,1.0,5,0.40441176470588236,0.38709513507475873,680
Basic Materials,3.1622776601683795,1,0.3426470588235294,0.30836760660141654,680
Basic Materials,3.1622776601683795,2,0.3514705882352941,0.3211657706708099,680
Basic Materials,3.1622776601683795,3,0.41911764705882354,0.38428511979073776,680
Basic Materials,3.1622776601683795,4,0.40147058823529413,0.384303183639047,680
Basic Materials,3.1622776601683795,5,0.4117647058823529,0.39570877150267597,680
Basic Materials,10.0,1,0.3426470588235294,0.30817389941796297,680
Basic Materials,10.0,2,0.3588235294117647,0.33544635882513313,680
Basic Materials,10.0,3,0.4147058823529412,0.38135533741167543,680
Basic Materials,10.0,4,0.40588235294117647,0.38680598402741956,680
Basic Materials,10.0,5,0.4,0.38710867133813903,680
Basic Materials,31.622776601683793,1,0.3397058823529412,0.30576254771200956,680
Basic Materials,31.622776601683793,2,0.3588235294117647,0.3372180893849303,680
Basic Materials,31.622776601683793,3,0.41911764705882354,0.386502733726157,680
Basic Materials,31.622776601683793,4,0.40588235294117647,0.38684624017957353,680
Basic Materials,31.622776601683793,5,0.3985294117647059,0.38669840749578266,680
