sector,n_tickers,n_train,n_val,threshold,best_C,n_splits_used,train_accuracy,train_f1_macro,test_oof_accuracy,test_oof_f1_macro,val_accuracy,val_f1_macro,out_dir
Technology,81,16686,3564,0.006904825687302541,31.622776601683793,5,0.4468416636701426,0.4395630984102363,0.39636891793754536,0.3774529618489087,0.40852974186307517,0.38674306083902016,c:\Users\jorge\OneDrive\Documentos\Data 606\Project\MultinomialLogit\sector_models_503_20260212_054742\sector_technology
Utilities,31,6386,1364,0.0053272347705258,31.622776601683793,5,0.42358283745693703,0.4010519590361396,0.3548387096774194,0.3406432135087607,0.4046920821114369,0.3446441796624092,c:\Users\jorge\OneDrive\Documentos\Data 606\Project\MultinomialLogit\sector_models_503_20260212_054742\sector_utilities
Communication Services,25,5150,1100,0.006458279112632623,31.622776601683793,5,0.4345631067961165,0.4173487410046362,0.36376470588235293,0.3562278974178345,0.4036363636363636,0.36878086507244373,c:\Users\jorge\OneDrive\Documentos\Data 606\Project\MultinomialLogit\sector_models_503_20260212_054742\sector_communication_services
Basic Materials,20,4120,880,0.006390468300490786,31.622776601683793,5,0.44733009708737864,0.44657597677670374,0.38441176470588234,0.37918986616967754,0.38636363636363635,0.3618596851356321,c:\Users\jorge\OneDrive\Documentos\Data 606\Project\MultinomialLogit\sector_models_503_20260212_054742\sector_basic_materials
Consumer Defensive,37,7622,1628,0.005339105407852773,31.622776601683793,5,0.42823405930202046,0.4280345737685969,0.3618441971383148,0.35896642121377415,0.37223587223587223,0.37070843650979773,c:\Users\jorge\OneDrive\Documentos\Data 606\Project\MultinomialLogit\sector_models_503_20260212_054742\sector_consumer_defensive
Industrials,72,14832,3168,0.005815907740009896,31.622776601683793,5,0.42354368932038833,0.4209900552527442,0.38325163398692813,0.3592200751646884,0.3680555555555556,0.34519619123900397,c:\Users\jorge\OneDrive\Documentos\Data 606\Project\MultinomialLogit\sector_models_503_20260212_054742\sector_industrials
Energy,22,4532,968,0.00692457640455767,31.622776601683793,5,0.4382171226831421,0.4310415362553708,0.3574866310160428,0.32830522778091625,0.36673553719008267,0.3100341130604289,c:\Users\jorge\OneDrive\Documentos\Data 606\Project\MultinomialLogit\sector_models_503_20260212_054742\sector_energy
Healthcare,60,12360,2640,0.006145140406524872,31.622776601683793,5,0.41828478964401294,0.4162534747384019,0.3543137254901961,0.34854477398364864,0.3571969696969697,0.3318174502720594,c:\Users\jorge\OneDrive\Documentos\Data 606\Project\MultinomialLogit\sector_models_503_20260212_054742\sector_healthcare
Financial Services,69,14214,3036,0.005486631249889798,31.622776601683793,5,0.4269734065006332,0.41289191858707247,0.38567774936061383,0.36435019791983,0.3554018445322793,0.3021568331265703,c:\Users\jorge\OneDrive\Documentos\Data 606\Project\MultinomialLogit\sector_models_503_20260212_054742\sector_financial_services
Consumer Cyclical,55,11330,2420,0.006601278184505768,3.1622776601683795,5,0.42815533980582526,0.4251342271866186,0.38032085561497325,0.36794991415126005,0.3504132231404959,0.3350891496186102,c:\Users\jorge\OneDrive\Documentos\Data 606\Project\MultinomialLogit\sector_models_503_20260212_054742\sector_consumer_cyclical
Real Estate,31,6386,1364,0.005531910721740781,0.1,5,0.4151268399624178,0.4103500512303824,0.34573055028462996,0.3357232576161942,0.3460410557184751,0.3114166077413774,c:\Users\jorge\OneDrive\Documentos\Data 606\Project\MultinomialLogit\sector_models_503_20260212_054742\sector_real_estate
