split,accuracy,balanced_accuracy,f1_macro,f1_weighted,n_samples,fold,sector
test_fold_1,0.3397058823529412,0.3559945896361714,0.30576254771200956,0.3001154338761413,680,1,Basic Materials
test_fold_2,0.3588235294117647,0.3816232500443027,0.3372180893849303,0.32300861336276204,680,2,Basic Materials
test_fold_3,0.41911764705882354,0.40474974827411075,0.386502733726157,0.3934425981480386,680,3,Basic Materials
test_fold_4,0.40588235294117647,0.3954334580692596,0.38684624017957353,0.39367399485046545,680,4,Basic Materials
test_fold_5,0.3985294117647059,0.39429504436580554,0.38669840749578266,0.38961700943615035,680,5,Basic Materials
test_fold_1,0.36941176470588233,0.38182980074620937,0.36935902176953367,0.36809212300250654,850,1,Communication Services
test_fold_2,0.3564705882352941,0.3464494569757728,0.29061401538541337,0.29291827267617504,850,2,Communication Services
test_fold_3,0.38823529411764707,0.31897787600678923,0.23580297072552533,0.2777357017949016,850,3,Communication Services
test_fold_4,0.3376470588235294,0.36236403050712274,0.2937076063695579,0.28380804576764057,850,4,Communication Services
test_fold_5,0.36705882352941177,0.34589275449757845,0.3349566020279519,0.3484814801535049,850,5,Communication Services
test_fold_1,0.3748663101604278,0.37355870700791294,0.3619731424061155,0.36383525634543007,1870,1,Consumer Cyclical
test_fold_2,0.3684491978609626,0.37505951163622164,0.3262015010426888,0.3199495051808958,1870,2,Consumer Cyclical
test_fold_3,0.3951871657754011,0.3391422593952334,0.22857241119478658,0.26054404021696176,1870,3,Consumer Cyclical
test_fold_4,0.3770053475935829,0.3796489240293275,0.3605051456879205,0.35943474722841423,1870,4,Consumer Cyclical
test_fold_5,0.386096256684492,0.37772424898396034,0.36888827993306933,0.37410094511490743,1870,5,Consumer Cyclical
test_fold_1,0.39268680445151033,0.3937393740570803,0.36087972880738156,0.3617006763280434,1258,1,Consumer Defensive
test_fold_2,0.34737678855325915,0.34135684050808474,0.3429471757776317,0.34689587802710553,1258,2,Consumer Defensive
test_fold_3,0.33783783783783783,0.3307358572051853,0.3248796200876257,0.33124138291417005,1258,3,Consumer Defensive
test_fold_4,0.3449920508744038,0.36033408935450195,0.3144461907714658,0.30614207068799754,1258,4,Consumer Defensive
test_fold_5,0.3863275039745628,0.38730186014809087,0.37517860343750636,0.3746587255391807,1258,5,Consumer Defensive
test_fold_1,0.2927807486631016,0.30022230022230023,0.2914108331964065,0.2945480488169401,748,1,Energy
test_fold_2,0.3810160427807487,0.3435076219539526,0.2764819563845594,0.29503554918538283,748,2,Energy
test_fold_3,0.3850267379679144,0.3645544139308868,0.35741385889137683,0.37128217242320205,748,3,Energy
test_fold_4,0.3850267379679144,0.3477085781433607,0.3122558753908536,0.3321723627793806,748,4,Energy
test_fold_5,0.34358288770053474,0.3357605798143936,0.32388503403667196,0.33042170154092027,748,5,Energy
test_fold_1,0.3878942881500426,0.3980528375808612,0.3861208127694693,0.3832039089792223,2346,1,Financial Services
test_fold_2,0.36615515771526,0.35139837912848,0.2910754833872668,0.2994336551241461,2346,2,Financial Services
test_fold_3,0.3836317135549872,0.33211308160523745,0.25838729306599345,0.2860043784239447,2346,3,Financial Services
test_fold_4,0.3857630008525149,0.37890714161939515,0.3732957343349424,0.38110905473898016,2346,4,Financial Services
test_fold_5,0.40494458653026427,0.3843780544649203,0.3505330143906722,0.3661319965915062,2346,5,Financial Services
test_fold_1,0.3377450980392157,0.35228304672945887,0.326347230740846,0.3224919362731654,2040,1,Healthcare
test_fold_2,0.33725490196078434,0.3241056668326843,0.28074947391459365,0.28734021636711876,2040,2,Healthcare
test_fold_3,0.36519607843137253,0.3344266810155725,0.2884959585348052,0.30536385797763715,2040,3,Healthcare
test_fold_4,0.3588235294117647,0.3652994413513347,0.3591295540168588,0.3612881721211121,2040,4,Healthcare
test_fold_5,0.37254901960784315,0.37351329915832565,0.3359579098209374,0.33680895102296027,2040,5,Healthcare
test_fold_1,0.36764705882352944,0.37591390362470634,0.3502190198721314,0.34726733763578077,2448,1,Industrials
test_fold_2,0.3582516339869281,0.34715997349138106,0.29075327115591026,0.297201734052968,2448,2,Industrials
test_fold_3,0.4056372549019608,0.33796156821878015,0.22021857647600837,0.25812471617945787,2448,3,Industrials
test_fold_4,0.40931372549019607,0.374716171567446,0.3490315766230729,0.3751598830945398,2448,4,Industrials
test_fold_5,0.37540849673202614,0.3686232766648703,0.32526974646521306,0.32888051186723477,2448,5,Industrials
test_fold_1,0.3757115749525617,0.37702862977591756,0.37191249461865716,0.37166770195625404,1054,1,Real Estate
test_fold_2,0.3766603415559772,0.358820960974579,0.27760734867195286,0.28161031209278453,1054,2,Real Estate
test_fold_3,0.3064516129032258,0.29382041433643363,0.2892418934902792,0.2971935330096412,1054,3,Real Estate
test_fold_4,0.32922201138519924,0.34664740091667157,0.3110903930983205,0.30764717301782796,1054,4,Real Estate
test_fold_5,0.340607210626186,0.3490905222647316,0.21905158186557885,0.21462918092929015,1054,5,Real Estate
test_fold_1,0.39796659404502543,0.4002204227571413,0.3923124480567239,0.3930453781470656,2754,1,Technology
test_fold_2,0.35039941902687,0.37467696137179146,0.3255454554414668,0.3107836575596915,2754,2,Technology
test_fold_3,0.4186637618010167,0.36115044816531977,0.28412641529739796,0.3158320650579372,2754,3,Technology
test_fold_4,0.41830065359477125,0.38850200948051206,0.35192795787788905,0.3688748742482625,2754,4,Technology
test_fold_5,0.39651416122004357,0.3885368548194384,0.3633974008833278,0.3674193505446996,2754,5,Technology
test_fold_1,0.349146110056926,0.35246708320075787,0.3449002466957085,0.3458928808251146,1054,1,Utilities
test_fold_2,0.33206831119544594,0.30761951638844215,0.28549974096153424,0.3045082727759177,1054,2,Utilities
test_fold_3,0.3510436432637571,0.3097029324690955,0.22381511146872127,0.24819340066932077,1054,3,Utilities
test_fold_4,0.36907020872865276,0.36226843649500023,0.34259504882414465,0.34923737775054553,1054,4,Utilities
test_fold_5,0.372865275142315,0.3580784282734288,0.295387446008564,0.3033426175140083,1054,5,Utilities
