feature,coef_down,coef_same,coef_up,max_abs_coef,sector_slug,feature_type,all_zero,n_nonzero_classes,var,rank_within_sector
num__VIX_Lag1,0.0303202836065452,-0.4359240945408454,0.1553213770404887,0.4359240945408454,basic_materials,numeric,False,3,VIX_Lag1,1
num__VIX_Lag3,-0.2367534361726866,0.0,0.3239464128106301,0.3239464128106301,basic_materials,numeric,False,2,VIX_Lag3,2
num__VIX_Lag2,0.0159366599267633,0.0301607519140617,-0.2960872345019667,0.2960872345019667,basic_materials,numeric,False,3,VIX_Lag2,3
num__roa,0.0,0.2523559915074028,-0.0226217874773039,0.2523559915074028,basic_materials,numeric,False,2,roa,4
num__VIX_Lag10,-0.2295743651489223,0.0818666180369941,0.0,0.2295743651489223,basic_materials,numeric,False,2,VIX_Lag10,5
num__debt_to_equity,-0.2174357650231036,0.0413395537727169,0.0130383059124651,0.2174357650231036,basic_materials,numeric,False,3,debt_to_equity,6
num__roe,0.0,-0.2093069558631121,0.110580303947476,0.2093069558631121,basic_materials,numeric,False,2,roe,7
num__IPI_IPI_QOQ,0.180296411248383,0.0,-0.1278990460694649,0.180296411248383,basic_materials,numeric,False,2,IPI_IPI_QOQ,8
num__IPI_IPI_SA,-0.1474217511133431,0.0,0.1653270939407051,0.1653270939407051,basic_materials,numeric,False,2,IPI_IPI_SA,9
num__VIX_Lag20,0.1408280398481817,0.0,-0.0715055192871739,0.1408280398481817,basic_materials,numeric,False,2,VIX_Lag20,10
num__debt_to_equity,0.2463904470584342,-0.1276909704453657,-0.0390993354071989,0.2463904470584342,communication_services,numeric,False,3,debt_to_equity,1
num__VIX_Lag2,0.2040098206806126,0.0,-0.1507747809784365,0.2040098206806126,communication_services,numeric,False,2,VIX_Lag2,2
num__roe,-0.2002436454302474,0.0233271715849897,0.0973672254627398,0.2002436454302474,communication_services,numeric,False,3,roe,3
