sector_slug,n_numeric_vars,n_zero_all_classes,n_active_vars,mean_max_abs_coef,median_max_abs_coef,zero_pct
consumer_cyclical,45,14,31,0.061352910829030334,0.0363717639020206,0.3111111111111111
basic_materials,45,13,32,0.08870589590655686,0.0532562455903515,0.28888888888888886
energy,45,13,32,0.09855949128313468,0.0576432534811477,0.28888888888888886
financial_services,45,13,32,0.06474347885409085,0.0278312327010308,0.28888888888888886
consumer_defensive,45,12,33,0.055187900632300904,0.0478232155040012,0.26666666666666666
real_estate,45,11,34,0.05304991234174531,0.0309584643330189,0.24444444444444444
communication_services,45,9,36,0.05690975845485207,0.0368118014537958,0.2
healthcare,45,9,36,0.06295984878572569,0.0474551964387256,0.2
industrials,45,9,36,0.06669939218936928,0.049253027124223,0.2
utilities,45,8,37,0.06480339352441997,0.041171921728446,0.17777777777777778
technology,45,6,39,0.06586237761360395,0.0325704661960453,0.13333333333333333
