sector,C,fold,accuracy,f1_macro,n_samples
Consumer Defensive,0.01,1,0.3537360890302067,0.17420238794284595,1258
Consumer Defensive,0.01,2,0.2774244833068362,0.14478323999170298,1258
Consumer Defensive,0.01,3,0.3505564387917329,0.17304296645085346,1258
Consumer Defensive,0.01,4,0.3124006359300477,0.1663318019882096,1258
Consumer Defensive,0.01,5,0.35135135135135137,0.2577280545760499,1258
Consumer Defensive,0.03162277660168379,1,0.3656597774244833,0.31940848620812595,1258
Consumer Defensive,0.03162277660168379,2,0.33465818759936405,0.3073137643673087,1258
Consumer Defensive,0.03162277660168379,3,0.3004769475357711,0.26060301121087154,1258
Consumer Defensive,0.03162277660168379,4,0.3449920508744038,0.3302260057680011,1258
Consumer Defensive,0.03162277660168379,5,0.3537360890302067,0.35049416257731164,1258
Consumer Defensive,0.1,1,0.37917329093799684,0.3476425964859379,1258
Consumer Defensive,0.1,2,0.3441971383147854,0.3156246736033691,1258
Consumer Defensive,0.1,3,0.3338632750397456,0.30794096788051056,1258
Consumer Defensive,0.1,4,0.35135135135135137,0.3200335504762239,1258
Consumer Defensive,0.1,5,0.3696343402225755,0.35798287621296804,1258
Consumer Defensive,0.31622776601683794,1,0.3712241653418124,0.3380131029268423,1258
Consumer Defensive,0.31622776601683794,2,0.3394276629570747,0.3215704424180123,1258
Consumer Defensive,0.31622776601683794,3,0.33624801271860094,0.3152036867962263,1258
Consumer Defensive,0.31622776601683794,4,0.3521462639109698,0.3231045764481311,1258
Consumer Defensive,0.31622776601683794,5,0.3799682034976153,0.36660559083767547,1258
Consumer Defensive,1.0,1,0.39109697933227344,0.36092610761871935,1258
Consumer Defensive,1.0,2,0.3370429252782194,0.3247540724076157,1258
Consumer Defensive,1.0,3,0.34181240063593005,0.3227190876294619,1258
Consumer Defensive,1.0,4,0.3481717011128776,0.31239070898368504,1258
Consumer Defensive,1.0,5,0.3847376788553259,0.3728328771915322,1258
Consumer Defensive,3.1622776601683795,1,0.3887122416534181,0.35772182622981913,1258
Consumer Defensive,3.1622776601683795,2,0.3386327503974563,0.32939837692003354,1258
Consumer Defensive,3.1622776601683795,3,0.33783783783783783,0.3222099354635,1258
Consumer Defensive,3.1622776601683795,4,0.3481717011128776,0.31650272358374193,1258
Consumer Defensive,3.1622776601683795,5,0.3847376788553259,0.37259848784731203,1258
Consumer Defensive,10.0,1,0.390302066772655,0.3560885178251781,1258
Consumer Defensive,10.0,2,0.3481717011128776,0.342352032048812,1258
Consumer Defensive,10.0,3,0.3386327503974563,0.3249330953991328,1258
Consumer Defensive,10.0,4,0.34578696343402227,0.3147051817087876,1258
Consumer Defensive,10.0,5,0.38791732909379967,0.37662963791983756,1258
Consumer Defensive,31.622776601683793,1,0.39268680445151033,0.36087972880738156,1258
Consumer Defensive,31.622776601683793,2,0.34737678855325915,0.3429471757776317,1258
Consumer Defensive,31.622776601683793,3,0.33783783783783783,0.3248796200876257,1258
Consumer Defensive,31.622776601683793,4,0.3449920508744038,0.3144461907714658,1258
Consumer Defensive,31.622776601683793,5,0.3863275039745628,0.37517860343750636,1258
