sector,C,fold,accuracy,f1_macro,n_samples
Industrials,0.01,1,0.37459150326797386,0.32970945197057117,2448
Industrials,0.01,2,0.3639705882352941,0.278009677298642,2448
Industrials,0.01,3,0.41094771241830064,0.20655845177275653,2448
Industrials,0.01,4,0.3574346405228758,0.3569332874444962,2448
Industrials,0.01,5,0.3631535947712418,0.26301378677901793,2448
Industrials,0.03162277660168379,1,0.3500816993464052,0.32906601167100874,2448
Industrials,0.03162277660168379,2,0.35498366013071897,0.268861983895434,2448
Industrials,0.03162277660168379,3,0.40727124183006536,0.19776590205063715,2448
Industrials,0.03162277660168379,4,0.38439542483660133,0.3769339295047081,2448
Industrials,0.03162277660168379,5,0.3680555555555556,0.28261370688981075,2448
Industrials,0.1,1,0.3500816993464052,0.33047027850073873,2448
Industrials,0.1,2,0.3541666666666667,0.27007190315414603,2448
Industrials,0.1,3,0.40318627450980393,0.1991911651565792,2448
Industrials,0.1,4,0.41217320261437906,0.3494269078181122,2448
Industrials,0.1,5,0.3762254901960784,0.30288987607618706,2448
Industrials,0.31622776601683794,1,0.34967320261437906,0.32773311073110295,2448
Industrials,0.31622776601683794,2,0.3582516339869281,0.2805523928472928,2448
Industrials,0.31622776601683794,3,0.40727124183006536,0.21524326621556586,2448
Industrials,0.31622776601683794,4,0.42197712418300654,0.3570926683467708,2448
Industrials,0.31622776601683794,5,0.3684640522875817,0.30571545088091656,2448
Industrials,1.0,1,0.3619281045751634,0.34337242331049295,2448
Industrials,1.0,2,0.3574346405228758,0.28437950569532405,2448
Industrials,1.0,3,0.40727124183006536,0.22092194313101451,2448
Industrials,1.0,4,0.4097222222222222,0.34811255070200836,2448
Industrials,1.0,5,0.37254901960784315,0.31747064009255976,2448
Industrials,3.1622776601683795,1,0.36887254901960786,0.3521327735183654,2448
Industrials,3.1622776601683795,2,0.3574346405228758,0.2870004451945599,2448
Industrials,3.1622776601683795,3,0.4056372549019608,0.22098990914556524,2448
Industrials,3.1622776601683795,4,0.4105392156862745,0.3494414330749181,2448
Industrials,3.1622776601683795,5,0.37173202614379086,0.3197474697547698,2448
Industrials,10.0,1,0.3668300653594771,0.34992214246434655,2448
Industrials,10.0,2,0.35580065359477125,0.28592979552827535,2448
Industrials,10.0,3,0.4056372549019608,0.22017457763672413,2448
Industrials,10.0,4,0.4113562091503268,0.35056594237325905,2448
Industrials,10.0,5,0.37540849673202614,0.32483800266819135,2448
Industrials,31.622776601683793,1,0.36764705882352944,0.3502190198721314,2448
Industrials,31.622776601683793,2,0.3582516339869281,0.29075327115591026,2448
Industrials,31.622776601683793,3,0.4056372549019608,0.22021857647600837,2448
Industrials,31.622776601683793,4,0.40931372549019607,0.3490315766230729,2448
Industrials,31.622776601683793,5,0.37540849673202614,0.32526974646521306,2448
