timestamp,n_tickers,n_errors,mean_test_r2,median_test_r2,min_test_r2,max_test_r2,mean_test_dir_acc,median_test_dir_acc,mean_test_rmse,median_test_rmse,mean_num_features,schema_signature
20260211_224709,498,5.0,-0.1357092016394809,-0.09603835433545391,-2.3306899461698176,0.1410680483310058,0.511738878095515,0.5136054421768708,0.021352977312968098,0.019504294571657102,28.0,ticker|train_samples|test_samples|num_features|train_rmse|train_mae|train_r2|test_rmse|test_mae|test_r2|train_dir_acc|test_dir_acc|xgb_dir_acc|dt_dir_acc|top_feature|top_feat_imp
20260211_233238,498,5.0,-0.1357092016394809,-0.09603835433545391,-2.3306899461698176,0.1410680483310058,0.511738878095515,0.5136054421768708,0.021352977312968098,0.019504294571657102,28.0,ticker|train_samples|test_samples|num_features|train_rmse|train_mae|train_r2|test_rmse|test_mae|test_r2|train_dir_acc|test_dir_acc|xgb_dir_acc|dt_dir_acc|top_feature|top_feat_imp
20260211_235234,496,7.0,-0.1361462568756969,-0.09603835433545391,-2.3306899461698176,0.1410680483310058,0.5117587819544146,0.5136054421768708,0.02136984217335746,0.0195148228171322,28.0,ticker|train_samples|test_samples|num_features|train_rmse|train_mae|train_r2|test_rmse|test_mae|test_r2|train_dir_acc|test_dir_acc|xgb_dir_acc|dt_dir_acc|top_feature|top_feat_imp
20260212_025208,503,,-0.09872307547339348,-0.0871750956871095,-1.1266484238142969,0.0452972899541735,0.5025446925939759,0.5034013605442177,0.021193007282930474,0.0192057878140485,43.0,ticker|train_samples|test_samples|num_features|train_rmse|train_mae|train_r2|train_dir_acc|test_rmse|test_mae|test_r2|test_dir_acc|xgb_dir_acc|dt_dir_acc|blend_weight|top_feature|top_feature_importance
