ticker,train_samples,test_samples,num_features,train_rmse,train_mae,train_r2,train_dir_acc,test_rmse,test_mae,test_r2,test_dir_acc,xgb_dir_acc,dt_dir_acc,blend_weight,top_feature,top_feature_importance
SOLV,321,81,43,0.01099501238868,0.0080264942076603,0.7451891825411086,0.8535825545171339,0.0143759739055896,0.0111290397337125,-0.0863592673536537,0.6172839506172839,0.5802469135802469,0.5555555555555556,0.7,Return_Lag1,0.0708252165826162
RJF,1172,294,43,0.0135912597198509,0.0096686750620511,0.6480543003053136,0.8805460750853242,0.0177191287758082,0.012277040428587,-0.0082233408831482,0.5918367346938775,0.5816326530612245,0.5476190476190477,0.7,Return_Lag5,0.1286460240530132
APP,914,229,43,0.0215969706608451,0.0148986001152771,0.7968522486730726,0.8982494529540481,0.0700017692983175,0.0516129912988744,-0.797723194805434,0.5851528384279476,0.5589519650655022,0.5676855895196506,0.7,revenue_growth,0.156554564833641
NOC,1172,294,43,0.011243460914506,0.0075477283989538,0.5965737788038175,0.8438566552901023,0.0159216623667805,0.0103820201945243,0.044846894056275,0.5850340136054422,0.5952380952380952,0.5510204081632653,0.7,Return_Lag3,0.1114643883377118
NDAQ,1172,294,43,0.0113421636646735,0.0077844692255438,0.6009481753545503,0.8540955631399317,0.0146689264921593,0.0101818059060706,-0.0371885872271779,0.5782312925170068,0.5748299319727891,0.564625850340136,0.7,Return_Lag1,0.1511801380932056
APH,1172,294,43,0.0112604085639465,0.0080799742727378,0.6025264120853986,0.8395904436860068,0.0221859970930466,0.0152212341093264,-0.0355209533272853,0.5714285714285714,0.5204081632653061,0.5748299319727891,0.7,Return_Lag1,0.1526726905936986
AVGO,1172,294,43,0.0142650858381132,0.0102868596048045,0.6746338612439831,0.856655290102389,0.0371661956118032,0.0236640307130607,-0.0879589842284449,0.5714285714285714,0.5374149659863946,0.5374149659863946,0.7,Return_Lag1,0.1652960281410074
GL,1172,294,43,0.0144505610789151,0.0090676082760926,0.7075865453511392,0.8378839590443686,0.0184968587322942,0.0134195520114712,-0.2501293775708448,0.5680272108843537,0.5578231292517006,0.5476190476190477,0.7,Sentiment_Lag2,0.1438362440800066
MCD,1172,294,43,0.00970687748494,0.006453238672009,0.5826541723915151,0.8156996587030717,0.0116970032605321,0.0084372628351598,-0.0821119684597802,0.5680272108843537,0.5476190476190477,0.5612244897959183,0.7,Return_Lag1,0.1775414110562067
TMUS,1172,294,43,0.0108643470239431,0.0072367843332494,0.6125365976514785,0.85580204778157,0.0178716111912236,0.0120312730299704,-0.111533369195313,0.5680272108843537,0.5510204081632653,0.5204081632653061,0.7,Return_Lag3,0.1268407310122478
