top_feature,count,share
Return_Lag1,278,0.5526838966202783
Return_Lag20,49,0.09741550695825049
Return_Lag2,38,0.07554671968190854
Return_Lag5,35,0.06958250497017893
Return_Lag3,30,0.05964214711729622
Return_Lag10,22,0.0437375745526839
VIX_Lag3,11,0.02186878727634195
VIX_Lag10,11,0.02186878727634195
VIX_Lag20,10,0.019880715705765408
IPI_IPI_SA,5,0.009940357852882704
Sentiment_Lag2,3,0.005964214711729622
UNEMP_UNRATE,2,0.003976143141153081
VIX_Lag5,2,0.003976143141153081
IPI_IPI,2,0.003976143141153081
revenue_growth,1,0.0019880715705765406
Sentiment_Lag1,1,0.0019880715705765406
IPI_IPI_QOQ,1,0.0019880715705765406
UNEMP_UNRATE_PC1,1,0.0019880715705765406
Sentiment_Lag5,1,0.0019880715705765406
