,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-112451833.740831,-38850000.0,-22890000.0,-39754000.0,-324030000.0,,
Tax Rate For Calcs,0.294377,0.21,0.21,0.278,0.21,,
Normalized EBITDA,4237000000.0,5166000000.0,4991000000.0,5566000000.0,4308000000.0,,
Total Unusual Items,-382000000.0,-185000000.0,-109000000.0,-143000000.0,-1543000000.0,,
Total Unusual Items Excluding Goodwill,-382000000.0,-185000000.0,-109000000.0,-143000000.0,-1543000000.0,,
Net Income From Continuing Operation Net Minority Interest,1313000000.0,5262000000.0,3275000000.0,2554000000.0,460000000.0,,
Reconciled Depreciation,1394000000.0,1332000000.0,1324000000.0,1276000000.0,1285000000.0,,
Reconciled Cost Of Revenue,14018000000.0,14532000000.0,14810000000.0,15406000000.0,14230000000.0,,
EBITDA,3855000000.0,4981000000.0,4882000000.0,5423000000.0,2765000000.0,,
EBIT,2461000000.0,3649000000.0,3558000000.0,4147000000.0,1480000000.0,,
Net Interest Income,-268000000.0,-324000000.0,-346000000.0,-433000000.0,-765000000.0,,
Interest Expense,416000000.0,438000000.0,471000000.0,487000000.0,532000000.0,,
Interest Income,148000000.0,114000000.0,125000000.0,54000000.0,-233000000.0,,
Normalized Income,1582548166.259169,5408150000.0,3361110000.0,2657246000.0,1678970000.0,,
Net Income From Continuing And Discontinued Operation,1313000000.0,5262000000.0,3275000000.0,2554000000.0,460000000.0,,
Total Expenses,19861000000.0,20005000000.0,20115000000.0,20612000000.0,19829000000.0,,
Diluted Average Shares,1806000000.0,1805000000.0,1814000000.0,1818000000.0,1819000000.0,,
Basic Average Shares,1797000000.0,1799000000.0,1808000000.0,1812000000.0,1814000000.0,,
Diluted EPS,0.73,2.92,1.81,1.4,0.25,,
Basic EPS,0.73,2.92,1.81,1.41,0.25,,
Diluted NI Availto Com Stockholders,1313000000.0,5262000000.0,3275000000.0,2554000000.0,460000000.0,,
Net Income Common Stockholders,1313000000.0,5262000000.0,3275000000.0,2554000000.0,460000000.0,,
Net Income,1313000000.0,5262000000.0,3275000000.0,2554000000.0,460000000.0,,
Minority Interests,-130000000.0,-681000000.0,-126000000.0,-90000000.0,-104000000.0,,
Net Income Including Noncontrolling Interests,1443000000.0,5943000000.0,3401000000.0,2644000000.0,564000000.0,,
Net Income Continuous Operations,1443000000.0,5943000000.0,3401000000.0,2644000000.0,564000000.0,,
Tax Provision,602000000.0,-2732000000.0,-314000000.0,1016000000.0,384000000.0,,
Pretax Income,2045000000.0,3211000000.0,3087000000.0,3660000000.0,948000000.0,,
Other Income Expense,-290000000.0,-110000000.0,-73000000.0,15000000.0,-1032000000.0,,
Other Non Operating Income Expenses,,,,66000000.0,,-65000000.0,
Special Income Charges,-382000000.0,-185000000.0,-109000000.0,-143000000.0,-1543000000.0,,
Gain On Sale Of Business,,,,,,,0.0
Other Special Charges,,,,,0.0,65000000.0,
Restructuring And Mergern Acquisition,-328000000.0,185000000.0,109000000.0,143000000.0,1543000000.0,,
Earnings From Equity Interest,92000000.0,75000000.0,36000000.0,92000000.0,107000000.0,,
Net Non Operating Interest Income Expense,-268000000.0,-324000000.0,-346000000.0,-433000000.0,-765000000.0,,
Interest Expense Non Operating,416000000.0,438000000.0,471000000.0,487000000.0,532000000.0,,
Interest Income Non Operating,148000000.0,114000000.0,125000000.0,54000000.0,-233000000.0,,
Operating Income,2603000000.0,3645000000.0,3506000000.0,4078000000.0,2745000000.0,,
Operating Expense,5843000000.0,5473000000.0,5305000000.0,5206000000.0,5599000000.0,,
Depreciation Amortization Depletion Income Statement,1394000000.0,1332000000.0,1324000000.0,1276000000.0,1285000000.0,,
Depreciation And Amortization In Income Statement,1394000000.0,1332000000.0,1324000000.0,1276000000.0,1285000000.0,,
Selling General And Administration,4449000000.0,4141000000.0,3981000000.0,3930000000.0,4314000000.0,,
Gross Profit,8446000000.0,9118000000.0,8811000000.0,9284000000.0,8344000000.0,,
Cost Of Revenue,14018000000.0,14532000000.0,14810000000.0,15406000000.0,14230000000.0,,
Total Revenue,22464000000.0,23650000000.0,23621000000.0,24690000000.0,22574000000.0,,
Operating Revenue,22464000000.0,23650000000.0,23621000000.0,24690000000.0,22574000000.0,,
