,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,304300000.0,299300000.0,299114679.0,298784865.0,298800000.0
Share Issued,304300000.0,299300000.0,299114679.0,298784865.0,298800000.0
Net Debt,17574000000.0,17062000000.0,16390000000.0,16351000000.0,15643000000.0
Total Debt,18073000000.0,18045000000.0,16966000000.0,16566000000.0,16167000000.0
Tangible Book Value,8640000000.0,8170000000.0,8111000000.0,8006000000.0,7887000000.0
Invested Capital,26576000000.0,26076000000.0,24966000000.0,24460000000.0,23942000000.0
Working Capital,-307000000.0,-3000000.0,155000000.0,-731000000.0,512000000.0
Net Tangible Assets,8864000000.0,8394000000.0,8335000000.0,8230000000.0,8111000000.0
Capital Lease Obligations,137000000.0,139000000.0,111000000.0,112000000.0,112000000.0
Common Stock Equity,8640000000.0,8170000000.0,8111000000.0,8006000000.0,7887000000.0
Preferred Stock Equity,224000000.0,224000000.0,224000000.0,224000000.0,224000000.0
Total Capitalization,25638000000.0,25175000000.0,24483000000.0,23424000000.0,23659000000.0
Total Equity Gross Minority Interest,9431000000.0,8971000000.0,8923000000.0,8748000000.0,8641000000.0
Minority Interest,567000000.0,577000000.0,588000000.0,518000000.0,530000000.0
Stockholders Equity,8864000000.0,8394000000.0,8335000000.0,8230000000.0,8111000000.0
Gains Losses Not Affecting Retained Earnings,-41000000.0,-41000000.0,-41000000.0,-41000000.0,-45000000.0
Other Equity Adjustments,-41000000.0,-41000000.0,-41000000.0,-41000000.0,-45000000.0
Retained Earnings,2323000000.0,2210000000.0,2174000000.0,2035000000.0,1928000000.0
Additional Paid In Capital,6355000000.0,5998000000.0,5975000000.0,6009000000.0,6001000000.0
Capital Stock,227000000.0,227000000.0,227000000.0,227000000.0,227000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
Preferred Stock,224000000.0,224000000.0,224000000.0,224000000.0,224000000.0
Total Liabilities Net Minority Interest,28577000000.0,28728000000.0,27372000000.0,27172000000.0,26176000000.0
Total Non Current Liabilities Net Minority Interest,25525000000.0,25532000000.0,24745000000.0,23651000000.0,23985000000.0
Other Non Current Liabilities,396000000.0,409000000.0,370000000.0,407000000.0,427000000.0
Employee Benefits,92000000.0,93000000.0,95000000.0,96000000.0,102000000.0
Non Current Pension And Other Postretirement Benefit Plans,92000000.0,93000000.0,95000000.0,96000000.0,102000000.0
Non Current Deferred Liabilities,3291000000.0,3199000000.0,3123000000.0,3047000000.0,2960000000.0
Non Current Deferred Taxes Liabilities,3291000000.0,3199000000.0,3123000000.0,3047000000.0,2960000000.0
Long Term Debt And Capital Lease Obligation,16911000000.0,16920000000.0,16259000000.0,15306000000.0,15660000000.0
Long Term Capital Lease Obligation,137000000.0,139000000.0,111000000.0,112000000.0,112000000.0
Long Term Debt,16774000000.0,16781000000.0,16148000000.0,15194000000.0,15548000000.0
Long Term Provisions,731000000.0,747000000.0,725000000.0,728000000.0,761000000.0
Current Liabilities,3052000000.0,3196000000.0,2627000000.0,3521000000.0,2191000000.0
Other Current Liabilities,328000000.0,290000000.0,325000000.0,320000000.0,333000000.0
Current Debt And Capital Lease Obligation,1162000000.0,1125000000.0,707000000.0,1260000000.0,507000000.0
Current Debt,1162000000.0,1125000000.0,707000000.0,1260000000.0,507000000.0
Other Current Borrowings,1162000000.0,1125000000.0,707000000.0,1195000000.0,507000000.0
Current Notes Payable,0.0,0.0,0.0,65000000.0,0.0
Payables And Accrued Expenses,1562000000.0,1781000000.0,1595000000.0,1941000000.0,1351000000.0
Current Accrued Expenses,213000000.0,174000000.0,170000000.0,194000000.0,214000000.0
Interest Payable,204000000.0,170000000.0,168000000.0,156000000.0,161000000.0
Payables,1349000000.0,1607000000.0,1425000000.0,1747000000.0,1137000000.0
Dueto Related Parties Current,8000000.0,7000000.0,8000000.0,8000000.0,7000000.0
Total Tax Payable,200000000.0,461000000.0,474000000.0,654000000.0,183000000.0
Accounts Payable,1141000000.0,1139000000.0,943000000.0,1085000000.0,947000000.0
Total Assets,38008000000.0,37699000000.0,36295000000.0,35920000000.0,34817000000.0
Total Non Current Assets,35263000000.0,34506000000.0,33513000000.0,33130000000.0,32114000000.0
Other Non Current Assets,202000000.0,254000000.0,310000000.0,384000000.0,198000000.0
Defined Pension Benefit,1744000000.0,1705000000.0,1666000000.0,1627000000.0,1591000000.0
Non Current Accounts Receivable,18000000.0,68000000.0,20000000.0,20000000.0,20000000.0
Investments And Advances,64000000.0,62000000.0,71000000.0,69000000.0,74000000.0
Net PPE,29690000000.0,28847000000.0,27903000000.0,27461000000.0,26671000000.0
Accumulated Depreciation,-10051000000.0,-9865000000.0,-9798000000.0,-9569000000.0,-9312000000.0
Gross PPE,39741000000.0,38712000000.0,37701000000.0,37030000000.0,35983000000.0
Construction In Progress,3158000000.0,2750000000.0,2420000000.0,2098000000.0,1827000000.0
Other Properties,1598000000.0,1592000000.0,1529000000.0,30000000.0,1490000000.0
Current Assets,2745000000.0,3193000000.0,2782000000.0,2790000000.0,2703000000.0
Other Current Assets,182000000.0,272000000.0,288000000.0,332000000.0,272000000.0
Current Deferred Assets,294000000.0,324000000.0,360000000.0,448000000.0,277000000.0
Current Deferred Taxes Assets,294000000.0,324000000.0,360000000.0,448000000.0,277000000.0
Restricted Cash,70000000.0,81000000.0,61000000.0,75000000.0,55000000.0
Inventory,903000000.0,736000000.0,580000000.0,769000000.0,884000000.0
Other Inventories,566000000.0,402000000.0,247000000.0,435000000.0,536000000.0
Receivables,934000000.0,936000000.0,1028000000.0,1063000000.0,803000000.0
Duefrom Related Parties Current,12000000.0,12000000.0,12000000.0,14000000.0,9000000.0
Accounts Receivable,922000000.0,924000000.0,1016000000.0,1049000000.0,794000000.0
Allowance For Doubtful Accounts Receivable,-28000000.0,-30000000.0,-29000000.0,-23000000.0,-22000000.0
Gross Accounts Receivable,950000000.0,954000000.0,1045000000.0,1072000000.0,816000000.0
Cash Cash Equivalents And Short Term Investments,362000000.0,844000000.0,465000000.0,103000000.0,412000000.0
Cash And Cash Equivalents,362000000.0,844000000.0,465000000.0,103000000.0,412000000.0
