,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-1260000.0,-2037735.849057,408000.0,13230000.0,38986000.0
Tax Rate For Calcs,0.21,0.226415,0.204,0.21,0.202
Normalized EBITDA,747000000.0,655000000.0,772000000.0,698000000.0,759000000.0
Total Unusual Items,-6000000.0,-9000000.0,2000000.0,63000000.0,193000000.0
Total Unusual Items Excluding Goodwill,-6000000.0,-9000000.0,2000000.0,63000000.0,193000000.0
Net Income From Continuing Operation Net Minority Interest,597000000.0,369000000.0,505000000.0,680000000.0,636000000.0
Reconciled Depreciation,106000000.0,107000000.0,79000000.0,79000000.0,92000000.0
Reconciled Cost Of Revenue,721000000.0,675000000.0,650000000.0,645000000.0,640000000.0
EBITDA,741000000.0,646000000.0,774000000.0,761000000.0,952000000.0
EBIT,635000000.0,539000000.0,695000000.0,682000000.0,860000000.0
Net Interest Income,3000000.0,2000000.0,16000000.0,11000000.0,9000000.0
Interest Expense,62000000.0,62000000.0,61000000.0,65000000.0,63000000.0
Interest Income,65000000.0,64000000.0,77000000.0,76000000.0,72000000.0
Normalized Income,601740000.0,375962264.150943,503408000.0,630230000.0,481986000.0
Net Income From Continuing And Discontinued Operation,632000000.0,368000000.0,503000000.0,679000000.0,634000000.0
Total Expenses,2244000000.0,2246000000.0,1969000000.0,2036000000.0,1981000000.0
Total Operating Income As Reported,576000000.0,484000000.0,616000000.0,543000000.0,595000000.0
Diluted Average Shares,467000000.0,470000000.0,475000000.0,485000000.0,494000000.0
Basic Average Shares,456000000.0,461000000.0,467000000.0,477000000.0,487000000.0
Diluted EPS,1.35,0.79,1.06,1.4,1.29
Basic EPS,1.39,0.8,1.08,1.43,1.31
Diluted NI Availto Com Stockholders,632000000.0,368000000.0,503000000.0,679000000.0,634000000.0
Net Income Common Stockholders,632000000.0,368000000.0,503000000.0,679000000.0,634000000.0
Net Income,632000000.0,368000000.0,503000000.0,679000000.0,634000000.0
Net Income Including Noncontrolling Interests,632000000.0,368000000.0,503000000.0,679000000.0,634000000.0
Net Income Discontinuous Operations,35000000.0,-1000000.0,-2000000.0,-1000000.0,-2000000.0
Net Income Continuous Operations,597000000.0,369000000.0,505000000.0,680000000.0,636000000.0
Tax Provision,-24000000.0,108000000.0,129000000.0,-63000000.0,161000000.0
Pretax Income,573000000.0,477000000.0,634000000.0,617000000.0,797000000.0
Other Income Expense,-6000000.0,-9000000.0,2000000.0,63000000.0,193000000.0
Gain On Sale Of Security,-6000000.0,-9000000.0,2000000.0,63000000.0,193000000.0
Net Non Operating Interest Income Expense,3000000.0,2000000.0,16000000.0,11000000.0,9000000.0
Interest Expense Non Operating,62000000.0,62000000.0,61000000.0,65000000.0,63000000.0
Interest Income Non Operating,65000000.0,64000000.0,77000000.0,76000000.0,72000000.0
Operating Income,576000000.0,484000000.0,616000000.0,543000000.0,595000000.0
Operating Expense,1423000000.0,1470000000.0,1246000000.0,1318000000.0,1254000000.0
Other Operating Expenses,106000000.0,86000000.0,81000000.0,87000000.0,89000000.0
Depreciation Amortization Depletion Income Statement,6000000.0,6000000.0,6000000.0,6000000.0,5000000.0
Depreciation And Amortization In Income Statement,6000000.0,6000000.0,6000000.0,6000000.0,5000000.0
Amortization,6000000.0,6000000.0,6000000.0,6000000.0,5000000.0
Amortization Of Intangibles Income Statement,6000000.0,6000000.0,6000000.0,6000000.0,5000000.0
Research And Development,423000000.0,421000000.0,362000000.0,375000000.0,374000000.0
Selling General And Administration,888000000.0,957000000.0,797000000.0,850000000.0,786000000.0
Selling And Marketing Expense,606000000.0,586000000.0,536000000.0,609000000.0,592000000.0
General And Administrative Expense,282000000.0,371000000.0,261000000.0,241000000.0,194000000.0
Other Gand A,282000000.0,371000000.0,261000000.0,241000000.0,194000000.0
Gross Profit,1999000000.0,1954000000.0,1862000000.0,1861000000.0,1849000000.0
Cost Of Revenue,821000000.0,776000000.0,723000000.0,718000000.0,727000000.0
Total Revenue,2820000000.0,2730000000.0,2585000000.0,2579000000.0,2576000000.0
Operating Revenue,2820000000.0,2730000000.0,2585000000.0,2579000000.0,2576000000.0
