,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,4296000000.0,1162000000.0,-2506000000.0,2322000000.0,1105000000.0
Repurchase Of Capital Stock,-250000000.0,-250000000.0,-246000000.0,-254000000.0,-253000000.0
Repayment Of Debt,-539000000.0,-1003000000.0,-191000000.0,-226000000.0,-454000000.0
Issuance Of Debt,465000000.0,254000000.0,848000000.0,733000000.0,786000000.0
End Cash Position,17524000000.0,16701000000.0,16104000000.0,18520000000.0,20228000000.0
Beginning Cash Position,16701000000.0,16104000000.0,18520000000.0,20228000000.0,17131000000.0
Effect Of Exchange Rate Changes,42000000.0,114000000.0,56000000.0,-149000000.0,263000000.0
Changes In Cash,781000000.0,483000000.0,-2472000000.0,-1559000000.0,2834000000.0
Financing Cash Flow,5727000000.0,5149000000.0,5499000000.0,3420000000.0,7429000000.0
Cash Flow From Continuing Financing Activities,5727000000.0,5149000000.0,5499000000.0,3420000000.0,7429000000.0
Net Other Financing Charges,4946000000.0,6394000000.0,4646000000.0,3131000000.0,5862000000.0
Proceeds From Stock Option Exercised,27000000.0,29000000.0,28000000.0,59000000.0,49000000.0
Cash Dividends Paid,-479000000.0,-481000000.0,-491000000.0,-467000000.0,-469000000.0
Common Stock Dividend Paid,-479000000.0,-481000000.0,-491000000.0,-467000000.0,-469000000.0
Net Common Stock Issuance,-250000000.0,-250000000.0,-246000000.0,-254000000.0,-253000000.0
Common Stock Payments,-250000000.0,-250000000.0,-246000000.0,-254000000.0,-253000000.0
Net Issuance Payments Of Debt,321000000.0,-859000000.0,923000000.0,460000000.0,292000000.0
Net Short Term Debt Issuance,395000000.0,-110000000.0,266000000.0,-47000000.0,-40000000.0
Net Long Term Debt Issuance,-74000000.0,-749000000.0,657000000.0,507000000.0,332000000.0
Long Term Debt Payments,-539000000.0,-1003000000.0,-191000000.0,-226000000.0,-454000000.0
Long Term Debt Issuance,465000000.0,254000000.0,848000000.0,733000000.0,786000000.0
Investing Cash Flow,-9242000000.0,-5828000000.0,-5465000000.0,-7301000000.0,-5700000000.0
Cash Flow From Continuing Investing Activities,-9242000000.0,-5828000000.0,-5465000000.0,-7301000000.0,-5700000000.0
Net Other Investing Changes,-271000000.0,-182000000.0,108000000.0,-107000000.0,17000000.0
Net Investment Purchase And Sale,-7632000000.0,-5800000000.0,-5439000000.0,-6357000000.0,-4197000000.0
Sale Of Investment,23503000000.0,20991000000.0,21371000000.0,32453000000.0,25134000000.0
Purchase Of Investment,-31135000000.0,-26791000000.0,-26810000000.0,-38810000000.0,-29331000000.0
Operating Cash Flow,4296000000.0,1162000000.0,-2506000000.0,2322000000.0,1105000000.0
Cash Flow From Continuing Operating Activities,4296000000.0,1162000000.0,-2506000000.0,2322000000.0,1105000000.0
Change In Working Capital,1541000000.0,-2429000000.0,-4742000000.0,387000000.0,-1770000000.0
Change In Other Working Capital,-712000000.0,-2441000000.0,-4162000000.0,439000000.0,-2377000000.0
Other Non Cash Items,-504000000.0,-502000000.0,-507000000.0,-446000000.0,-554000000.0
Depreciation And Amortization,-144000000.0,482000000.0,-161000000.0,53000000.0,-41000000.0
Operating Gains Losses,123000000.0,136000000.0,537000000.0,1684000000.0,1273000000.0
Earnings Losses From Equity Investments,-15000000.0,-6000000.0,1000000.0,-18000000.0,-16000000.0
Gain Loss On Investment Securities,138000000.0,142000000.0,536000000.0,1702000000.0,1289000000.0
Net Income From Continuing Operations,1483000000.0,566000000.0,742000000.0,73000000.0,451000000.0
