,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.243,0.202221,0.217,0.232,0.24
Normalized EBITDA,243096000.0,213541000.0,195652000.0,181915000.0,210117000.0
Net Income From Continuing Operation Net Minority Interest,143986000.0,127604000.0,111108000.0,97845000.0,119191000.0
Reconciled Depreciation,51892000.0,51490000.0,51013000.0,51754000.0,50494000.0
Reconciled Cost Of Revenue,348566000.0,343879000.0,340586000.0,332850000.0,343432000.0
EBITDA,243096000.0,213541000.0,195652000.0,181915000.0,210117000.0
EBIT,191204000.0,162051000.0,144639000.0,130161000.0,159623000.0
Net Interest Income,6253000.0,4251000.0,3168000.0,4379000.0,5522000.0
Interest Expense,886000.0,2102000.0,2731000.0,2780000.0,2825000.0
Interest Income,7139000.0,6353000.0,5899000.0,7159000.0,8347000.0
Normalized Income,143986000.0,127604000.0,111108000.0,97845000.0,119191000.0
Net Income From Continuing And Discontinued Operation,143986000.0,127604000.0,111108000.0,97845000.0,119191000.0
Total Expenses,460673000.0,459674000.0,446347000.0,450846000.0,449706000.0
Total Operating Income As Reported,184065000.0,155698000.0,138740000.0,123002000.0,151276000.0
Diluted Average Shares,72909000.0,73005000.0,73013000.0,73082000.0,73078000.0
Basic Average Shares,72543867.0,72836391.0,72815211.0,72898072.0,72959064.0
Diluted EPS,1.97,1.75,1.52,1.34,1.63
Basic EPS,1.984813,1.751926,1.52589,1.342217,1.63367
Diluted NI Availto Com Stockholders,143986000.0,127604000.0,111108000.0,97845000.0,119191000.0
Net Income Common Stockholders,143986000.0,127604000.0,111108000.0,97845000.0,119191000.0
Net Income,143986000.0,127604000.0,111108000.0,97845000.0,119191000.0
Net Income Including Noncontrolling Interests,143986000.0,127604000.0,111108000.0,97845000.0,119191000.0
Net Income Continuous Operations,143986000.0,127604000.0,111108000.0,97845000.0,119191000.0
Tax Provision,46332000.0,32345000.0,30800000.0,29536000.0,37607000.0
Pretax Income,190318000.0,159949000.0,141908000.0,127381000.0,156798000.0
Net Non Operating Interest Income Expense,6253000.0,4251000.0,3168000.0,4379000.0,5522000.0
Interest Expense Non Operating,886000.0,2102000.0,2731000.0,2780000.0,2825000.0
Interest Income Non Operating,7139000.0,6353000.0,5899000.0,7159000.0,8347000.0
Operating Income,184065000.0,155698000.0,138740000.0,123002000.0,151276000.0
Operating Expense,112107000.0,115795000.0,105761000.0,117996000.0,106274000.0
Research And Development,39278000.0,42579000.0,39411000.0,41095000.0,39686000.0
Selling General And Administration,72829000.0,73216000.0,66350000.0,76901000.0,66588000.0
Gross Profit,296172000.0,271493000.0,244501000.0,240998000.0,257550000.0
Cost Of Revenue,348566000.0,343879000.0,340586000.0,332850000.0,343432000.0
Total Revenue,644738000.0,615372000.0,585087000.0,573848000.0,600982000.0
Operating Revenue,644738000.0,615372000.0,585087000.0,573848000.0,600982000.0
