,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,72960000.0,-73097982.708934,-85050000.0,15200000.0,-2220000.0,,
Tax Rate For Calcs,0.12,0.273775,0.21,0.2,0.37,,
Normalized EBITDA,876000000.0,774000000.0,680000000.0,880000000.0,483000000.0,,
Total Unusual Items,608000000.0,-267000000.0,-405000000.0,76000000.0,-6000000.0,,
Total Unusual Items Excluding Goodwill,608000000.0,-267000000.0,-405000000.0,76000000.0,-6000000.0,,
Net Income From Continuing Operation Net Minority Interest,1182000000.0,224000000.0,772000000.0,594000000.0,153000000.0,,
Reconciled Depreciation,88000000.0,86000000.0,110000000.0,120000000.0,135000000.0,,
Reconciled Cost Of Revenue,1591000000.0,1538000000.0,1382000000.0,2769000000.0,1406000000.0,,
EBITDA,1484000000.0,507000000.0,275000000.0,956000000.0,477000000.0,,
EBIT,1396000000.0,421000000.0,165000000.0,836000000.0,342000000.0,,
Net Interest Income,-42000000.0,-54000000.0,-81000000.0,-84000000.0,-92000000.0,,
Interest Expense,59000000.0,74000000.0,91000000.0,95000000.0,99000000.0,,
Interest Income,17000000.0,20000000.0,10000000.0,11000000.0,7000000.0,,
Normalized Income,646960000.0,417902017.291066,1091950000.0,533200000.0,156780000.0,,
Net Income From Continuing And Discontinued Operation,1182000000.0,257000000.0,524000000.0,594000000.0,493000000.0,,
Total Expenses,2023000000.0,1924000000.0,1735000000.0,3509000000.0,1872000000.0,,
Total Operating Income As Reported,792000000.0,680000000.0,760000000.0,852000000.0,334000000.0,,
Diluted Average Shares,376000000.0,362000000.0,358000000.0,357000000.0,357000000.0,,
Basic Average Shares,345000000.0,348000000.0,348000000.0,346000000.0,344000000.0,,
Diluted EPS,3.07,0.754144,1.42,1.63,1.35,,
Basic EPS,3.34,1.37,1.46,1.68,1.4,,
Diluted NI Availto Com Stockholders,1154000000.0,273000000.0,507000000.0,581000000.0,481000000.0,,
Average Dilution Earnings,2000000.0,0.0,0.0,0.0,,,0.0
Net Income Common Stockholders,1152000000.0,273000000.0,507000000.0,581000000.0,481000000.0,,
Otherunder Preferred Stock Dividend,25000000.0,-21000000.0,13000000.0,9000000.0,2000000.0,,
Preferred Stock Dividends,5000000.0,5000000.0,4000000.0,4000000.0,2000000.0,,
Net Income,1182000000.0,257000000.0,524000000.0,594000000.0,493000000.0,,
Net Income Including Noncontrolling Interests,1182000000.0,285000000.0,524000000.0,594000000.0,493000000.0,,
Net Income Discontinuous Operations,0.0,33000000.0,-248000000.0,,,,135000000.0
Net Income Continuous Operations,1182000000.0,252000000.0,772000000.0,594000000.0,153000000.0,,
Tax Provision,155000000.0,95000000.0,-698000000.0,147000000.0,90000000.0,,
Pretax Income,1337000000.0,347000000.0,74000000.0,741000000.0,243000000.0,,
Other Income Expense,584000000.0,-280000000.0,-404000000.0,49000000.0,-5000000.0,,
Other Non Operating Income Expenses,-24000000.0,-13000000.0,1000000.0,-27000000.0,1000000.0,,
Special Income Charges,608000000.0,-873000000.0,201000000.0,76000000.0,-6000000.0,,
Gain On Sale Of Ppe,,,,0.0,0.0,0.0,0.0
Gain On Sale Of Business,611000000.0,,,113000000.0,,,
Other Special Charges,,99000000.0,-201000000.0,-9000000.0,3000000.0,260000000.0,
Write Off,,0.0,0.0,0.0,0.0,47000000.0,
Restructuring And Mergern Acquisition,3000000.0,2000000.0,0.0,46000000.0,3000000.0,,
Gain On Sale Of Security,,,-606000000.0,,,,
Net Non Operating Interest Income Expense,-42000000.0,-54000000.0,-81000000.0,-84000000.0,-92000000.0,,
Interest Expense Non Operating,59000000.0,74000000.0,91000000.0,95000000.0,99000000.0,,
Interest Income Non Operating,17000000.0,20000000.0,10000000.0,11000000.0,7000000.0,,
Operating Income,795000000.0,681000000.0,559000000.0,776000000.0,340000000.0,,
Operating Expense,432000000.0,386000000.0,353000000.0,740000000.0,466000000.0,,
Research And Development,294000000.0,262000000.0,245000000.0,502000000.0,262000000.0,,
Selling General And Administration,138000000.0,124000000.0,108000000.0,238000000.0,204000000.0,,
Gross Profit,1227000000.0,1067000000.0,912000000.0,1516000000.0,806000000.0,,
Cost Of Revenue,1591000000.0,1538000000.0,1382000000.0,2769000000.0,1406000000.0,,
Total Revenue,2818000000.0,2605000000.0,2294000000.0,4285000000.0,2212000000.0,,
Operating Revenue,2818000000.0,2605000000.0,2294000000.0,4285000000.0,2212000000.0,,
