,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,178246000.0,169305000.0,112373000.0,83746000.0,213071000.0,,
Repurchase Of Capital Stock,-93000.0,-7352000.0,-353132000.0,-124000.0,-100786000.0,,
Repayment Of Debt,-253794000.0,-738312000.0,-149394000.0,-176779000.0,-329646000.0,,
Issuance Of Debt,107498000.0,547022000.0,416341000.0,104798000.0,235583000.0,,
Capital Expenditure,-35580000.0,-35298000.0,-59324000.0,-75616000.0,-38721000.0,,
Interest Paid Supplemental Data,37576000.0,26027000.0,29088000.0,28843000.0,28979000.0,,
Income Tax Paid Supplemental Data,9419000.0,56664000.0,17324000.0,27490000.0,26850000.0,,
End Cash Position,209220000.0,184740000.0,231728000.0,205570000.0,211640000.0,,
Beginning Cash Position,184740000.0,231728000.0,205570000.0,211640000.0,181004000.0,,
Effect Of Exchange Rate Changes,-3034000.0,12669000.0,5265000.0,-13449000.0,7704000.0,,
Changes In Cash,27514000.0,-59657000.0,20893000.0,7379000.0,22932000.0,,
Financing Cash Flow,-152616000.0,-226921000.0,-105325000.0,-75879000.0,-207536000.0,,
Cash Flow From Continuing Financing Activities,-152616000.0,-226921000.0,-105325000.0,-75879000.0,-207536000.0,,
Net Other Financing Charges,-6229000.0,-28280000.0,-19140000.0,-4542000.0,-13466000.0,,
Proceeds From Stock Option Exercised,2000.0,1000.0,0.0,768000.0,779000.0,,
Net Common Stock Issuance,-93000.0,-7352000.0,-353132000.0,-124000.0,-100786000.0,,
Common Stock Payments,-93000.0,-7352000.0,-353132000.0,-124000.0,-100786000.0,,
Net Issuance Payments Of Debt,-146296000.0,-191290000.0,266947000.0,-71981000.0,-94063000.0,,
Net Long Term Debt Issuance,-146296000.0,-191290000.0,266947000.0,-71981000.0,-94063000.0,,
Long Term Debt Payments,-253794000.0,-738312000.0,-149394000.0,-176779000.0,-329646000.0,,
Long Term Debt Issuance,107498000.0,547022000.0,416341000.0,104798000.0,235583000.0,,
Investing Cash Flow,-33696000.0,-37339000.0,-45479000.0,-76104000.0,-21324000.0,,
Cash Flow From Continuing Investing Activities,-33696000.0,-37339000.0,-45479000.0,-76104000.0,-21324000.0,,
Net Other Investing Changes,2807000.0,243000.0,104000.0,4907000.0,12000.0,,
Net Investment Purchase And Sale,-923000.0,-2284000.0,-3700000.0,-5395000.0,17385000.0,,
Sale Of Investment,3531000.0,504000.0,1602000.0,2217000.0,27111000.0,,
Purchase Of Investment,-4454000.0,-2788000.0,-5302000.0,-7612000.0,-9726000.0,,
Net Business Purchase And Sale,0.0,0.0,17441000.0,0.0,0.0,,
Sale Of Business,0.0,0.0,17441000.0,,,0.0,0.0
Purchase Of Business,0.0,,,0.0,0.0,-5479000.0,0.0
Capital Expenditure Reported,-35580000.0,-35298000.0,-59324000.0,-75616000.0,-38721000.0,,
Operating Cash Flow,213826000.0,204603000.0,171697000.0,159362000.0,251792000.0,,
Cash Flow From Continuing Operating Activities,213826000.0,204603000.0,171697000.0,159362000.0,251792000.0,,
Change In Working Capital,-5145000.0,11167000.0,1287000.0,-42396000.0,71491000.0,,
Change In Other Working Capital,-67800000.0,-22342000.0,12008000.0,-15924000.0,19711000.0,,
Change In Payables And Accrued Expense,67386000.0,14717000.0,40514000.0,-32799000.0,30513000.0,,
Change In Accrued Expense,42880000.0,23727000.0,15263000.0,-25623000.0,31172000.0,,
Change In Payable,24506000.0,-9010000.0,25251000.0,-7176000.0,-659000.0,,
Change In Account Payable,24506000.0,-9010000.0,25251000.0,-7176000.0,-659000.0,,
Change In Inventory,-31327000.0,7929000.0,-21882000.0,3015000.0,4039000.0,,
Change In Receivables,26596000.0,10863000.0,-29353000.0,3312000.0,17228000.0,,
Other Non Cash Items,1040000.0,-1465000.0,3731000.0,12879000.0,14677000.0,,
Stock Based Compensation,23267000.0,17049000.0,13135000.0,17235000.0,19331000.0,,
Provisionand Write Offof Assets,2368000.0,184000.0,2007000.0,6551000.0,3504000.0,,
Asset Impairment Charge,4612000.0,24932000.0,17338000.0,296478000.0,-306000.0,,
Deferred Tax,25908000.0,-21989000.0,-19041000.0,-41440000.0,-12915000.0,,
Deferred Income Tax,25908000.0,-21989000.0,-19041000.0,-41440000.0,-12915000.0,,
Depreciation Amortization Depletion,85164000.0,119507000.0,120364000.0,102104000.0,88198000.0,,
Depreciation And Amortization,85164000.0,119507000.0,120364000.0,102104000.0,88198000.0,,
Operating Gains Losses,21056000.0,2525000.0,6998000.0,21698000.0,-2483000.0,,
Earnings Losses From Equity Investments,21056000.0,2525000.0,10374000.0,21698000.0,-2483000.0,,
Gain Loss On Sale Of Business,0.0,0.0,-3376000.0,0.0,0.0,,
Net Income From Continuing Operations,55556000.0,52693000.0,25878000.0,-213747000.0,70295000.0,,
