,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-37318385.650224,-2168000.0,-17900931.414056,-8055684.454756,-29937200.383509
Tax Rate For Calcs,0.151087,0.004,0.205758,0.035963,0.151965
Normalized EBITDA,3640000000.0,1798000000.0,1657000000.0,2336000000.0,2646000000.0
Total Unusual Items,-247000000.0,-542000000.0,-87000000.0,-224000000.0,-197000000.0
Total Unusual Items Excluding Goodwill,-247000000.0,-542000000.0,-87000000.0,-224000000.0,-197000000.0
Net Income From Continuing Operation Net Minority Interest,1736000000.0,630000000.0,442000000.0,1486000000.0,811000000.0
Reconciled Depreciation,400000000.0,332000000.0,308000000.0,296000000.0,281000000.0
Reconciled Cost Of Revenue,376000000.0,330000000.0,326000000.0,289000000.0,291000000.0
EBITDA,3393000000.0,1256000000.0,1570000000.0,2112000000.0,2449000000.0
EBIT,2993000000.0,924000000.0,1262000000.0,1816000000.0,2168000000.0
Net Interest Income,-59000000.0,-74000000.0,-47000000.0,-68000000.0,-36000000.0
Interest Expense,94000000.0,79000000.0,81000000.0,92000000.0,82000000.0
Interest Income,35000000.0,5000000.0,34000000.0,32000000.0,46000000.0
Normalized Income,1945681614.349776,1169832000.0,511099068.585944,1701944315.545244,978062799.616491
Net Income From Continuing And Discontinued Operation,1736000000.0,630000000.0,442000000.0,1486000000.0,811000000.0
Total Expenses,6651000000.0,5366000000.0,4015000000.0,3361000000.0,5517000000.0
Diluted Average Shares,607824766.0,590371367.0,592984841.0,603000000.0,588541814.0
Basic Average Shares,589380547.0,586672682.0,587258883.0,584000000.0,585382685.0
Diluted EPS,2.78,0.99,0.68,2.39,1.29
Basic EPS,2.82,1.0,0.68,2.42,1.3
Diluted NI Availto Com Stockholders,1397000000.0,292000000.0,137000000.0,1250000000.0,496000000.0
Average Dilution Earnings,24000000.0,0.0,0.0,97000000.0,0.0
Net Income Common Stockholders,1373000000.0,292000000.0,137000000.0,1153000000.0,496000000.0
Otherunder Preferred Stock Dividend,339000000.0,313000000.0,281000000.0,309000000.0,291000000.0
Preferred Stock Dividends,24000000.0,25000000.0,24000000.0,24000000.0,24000000.0
Net Income,1736000000.0,630000000.0,442000000.0,1486000000.0,811000000.0
Minority Interests,-725000000.0,-212000000.0,-496000000.0,-176000000.0,-958000000.0
Net Income Including Noncontrolling Interests,2461000000.0,842000000.0,938000000.0,1662000000.0,1769000000.0
Net Income Continuous Operations,2461000000.0,842000000.0,938000000.0,1662000000.0,1769000000.0
Tax Provision,438000000.0,3000000.0,243000000.0,62000000.0,317000000.0
Pretax Income,2899000000.0,845000000.0,1181000000.0,1724000000.0,2086000000.0
Other Income Expense,-214000000.0,-529000000.0,-305000000.0,-130000000.0,-134000000.0
Other Non Operating Income Expenses,33000000.0,13000000.0,-218000000.0,94000000.0,63000000.0
Special Income Charges,-355000000.0,-292000000.0,-267000000.0,-263000000.0,-244000000.0
Restructuring And Mergern Acquisition,355000000.0,292000000.0,267000000.0,263000000.0,244000000.0
Gain On Sale Of Security,108000000.0,-250000000.0,180000000.0,39000000.0,47000000.0
Net Non Operating Interest Income Expense,-59000000.0,-74000000.0,-47000000.0,-68000000.0,-36000000.0
Interest Expense Non Operating,94000000.0,79000000.0,81000000.0,92000000.0,82000000.0
Interest Income Non Operating,35000000.0,5000000.0,34000000.0,32000000.0,46000000.0
Operating Income,3172000000.0,1448000000.0,1533000000.0,1922000000.0,2256000000.0
Operating Expense,6275000000.0,5036000000.0,3689000000.0,3072000000.0,5226000000.0
Other Operating Expenses,5481000000.0,4394000000.0,2962000000.0,2344000000.0,4586000000.0
Selling General And Administration,794000000.0,642000000.0,727000000.0,728000000.0,640000000.0
General And Administrative Expense,794000000.0,642000000.0,727000000.0,728000000.0,640000000.0
Other Gand A,409000000.0,370000000.0,308000000.0,285000000.0,326000000.0
Salaries And Wages,385000000.0,272000000.0,419000000.0,443000000.0,314000000.0
Gross Profit,9447000000.0,6484000000.0,5222000000.0,4994000000.0,7482000000.0
Cost Of Revenue,376000000.0,330000000.0,326000000.0,289000000.0,291000000.0
Total Revenue,9823000000.0,6814000000.0,5548000000.0,5283000000.0,7773000000.0
Operating Revenue,9817000000.0,6809000000.0,5543000000.0,5273000000.0,7770000000.0
