,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,-989000000.0,910000000.0,1199000000.0,915000000.0,563000000.0,,
Repurchase Of Capital Stock,-414000000.0,0.0,-241000000.0,,,0.0,0.0
Repayment Of Debt,-1130000000.0,-724000000.0,-1223000000.0,-1684000000.0,-5181000000.0,,
Issuance Of Debt,2432000000.0,250000000.0,480000000.0,960000000.0,4660000000.0,,
Capital Expenditure,-2458000000.0,-836000000.0,-428000000.0,-552000000.0,-334000000.0,,
Interest Paid Supplemental Data,266000000.0,164000000.0,279000000.0,212000000.0,377000000.0,,
End Cash Position,432000000.0,735000000.0,386000000.0,388000000.0,418000000.0,,
Beginning Cash Position,735000000.0,386000000.0,388000000.0,418000000.0,391000000.0,,
Effect Of Exchange Rate Changes,0.0,5000000.0,2000000.0,-4000000.0,0.0,,
Changes In Cash,-303000000.0,344000000.0,-4000000.0,-26000000.0,27000000.0,,
Financing Cash Flow,615000000.0,-696000000.0,-1191000000.0,-852000000.0,-559000000.0,,
Cash Flow From Continuing Financing Activities,615000000.0,-696000000.0,-1191000000.0,-852000000.0,-559000000.0,,
Net Other Financing Charges,-69000000.0,-22000000.0,-59000000.0,-21000000.0,-38000000.0,,
Cash Dividends Paid,-204000000.0,-200000000.0,-148000000.0,,,0.0,0.0
Common Stock Dividend Paid,,-200000000.0,-148000000.0,,,0.0,0.0
Net Common Stock Issuance,-414000000.0,0.0,-241000000.0,,,0.0,0.0
Common Stock Payments,-414000000.0,0.0,-241000000.0,,,0.0,0.0
Net Issuance Payments Of Debt,1302000000.0,-474000000.0,-743000000.0,-724000000.0,-521000000.0,,
Net Long Term Debt Issuance,1302000000.0,-474000000.0,-743000000.0,-724000000.0,-521000000.0,,
Long Term Debt Payments,-1130000000.0,-724000000.0,-1223000000.0,-1684000000.0,-5181000000.0,,
Long Term Debt Issuance,2432000000.0,250000000.0,480000000.0,960000000.0,4660000000.0,,
Investing Cash Flow,-2387000000.0,-706000000.0,-440000000.0,-641000000.0,-311000000.0,,
Cash Flow From Continuing Investing Activities,-2387000000.0,-706000000.0,-440000000.0,-641000000.0,-311000000.0,,
Net Other Investing Changes,71000000.0,64000000.0,16000000.0,0.0,17000000.0,,
Net Investment Purchase And Sale,32000000.0,102000000.0,-2000000.0,-69000000.0,33000000.0,,
Sale Of Investment,33000000.0,,,0.0,2000000.0,12000000.0,0.0
Purchase Of Investment,-1000000.0,-9000000.0,-2000000.0,-69000000.0,31000000.0,,
Net Business Purchase And Sale,-32000000.0,-36000000.0,-26000000.0,-20000000.0,-27000000.0,,
Purchase Of Business,-17000000.0,-51000000.0,-26000000.0,-20000000.0,-27000000.0,,
Net PPE Purchase And Sale,-2458000000.0,-836000000.0,-428000000.0,-552000000.0,-334000000.0,,
Purchase Of PPE,-2458000000.0,-836000000.0,-428000000.0,-552000000.0,-334000000.0,,
Operating Cash Flow,1469000000.0,1746000000.0,1627000000.0,1467000000.0,897000000.0,,
Cash Flow From Continuing Operating Activities,1469000000.0,1746000000.0,1627000000.0,1467000000.0,897000000.0,,
Change In Working Capital,-763000000.0,181000000.0,529000000.0,420000000.0,-915000000.0,,
Change In Other Working Capital,-775000000.0,45000000.0,838000000.0,173000000.0,-921000000.0,,
Change In Payables And Accrued Expense,-84000000.0,132000000.0,-129000000.0,209000000.0,-60000000.0,,
Change In Accrued Expense,40000000.0,130000000.0,-151000000.0,142000000.0,-95000000.0,,
Change In Payable,-124000000.0,2000000.0,22000000.0,67000000.0,35000000.0,,
Change In Account Payable,-124000000.0,2000000.0,22000000.0,67000000.0,35000000.0,,
Change In Prepaid Assets,100000000.0,-30000000.0,-112000000.0,-27000000.0,86000000.0,,
Change In Inventory,-21000000.0,8000000.0,9000000.0,0.0,-23000000.0,,
Change In Receivables,17000000.0,26000000.0,-77000000.0,65000000.0,3000000.0,,
Other Non Cash Items,46000000.0,51000000.0,-62000000.0,-84000000.0,66000000.0,,
Stock Based Compensation,44000000.0,39000000.0,53000000.0,158000000.0,26000000.0,,
Deferred Tax,11000000.0,5000000.0,-1000000.0,-15000000.0,10000000.0,,
Deferred Income Tax,11000000.0,5000000.0,-1000000.0,-15000000.0,10000000.0,,
Depreciation Amortization Depletion,436000000.0,417000000.0,412000000.0,410000000.0,410000000.0,,
Depreciation And Amortization,436000000.0,417000000.0,412000000.0,410000000.0,410000000.0,,
Operating Gains Losses,-147000000.0,-161000000.0,-40000000.0,19000000.0,185000000.0,,
Earnings Losses From Equity Investments,-158000000.0,-107000000.0,-48000000.0,-57000000.0,-106000000.0,,
Gain Loss On Investment Securities,11000000.0,-54000000.0,-2000000.0,69000000.0,-32000000.0,,
Net Income From Continuing Operations,1579000000.0,1214000000.0,736000000.0,559000000.0,1115000000.0,,
