,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-03-31
Free Cash Flow,1400410000.0,343012000.0,101454000.0,-13193000.0,628164000.0,
Repurchase Of Capital Stock,-403027000.0,-692204000.0,-445298000.0,-183160000.0,-345576000.0,
Repayment Of Debt,-214552000.0,-151180000.0,-2091761000.0,-275638000.0,-86046000.0,
Issuance Of Debt,2213033000.0,212673000.0,222824000.0,849386000.0,86725000.0,
Capital Expenditure,-50646000.0,-31310000.0,-31882000.0,-26993000.0,-56599000.0,
Interest Paid Supplemental Data,,,,116423000.0,17136000.0,
Income Tax Paid Supplemental Data,,,,64617000.0,74291000.0,
End Cash Position,13945026000.0,12142570000.0,13089173000.0,13230512000.0,12934437000.0,
Beginning Cash Position,12142570000.0,13089173000.0,13230512000.0,12934437000.0,12018864000.0,
Effect Of Exchange Rate Changes,-14417000.0,72683000.0,22249000.0,-102139000.0,53371000.0,
Changes In Cash,1816873000.0,-1019286000.0,-163588000.0,398214000.0,862202000.0,
Financing Cash Flow,1466559000.0,-907828000.0,-1211632000.0,707570000.0,71745000.0,
Cash Flow From Continuing Financing Activities,1466559000.0,-907828000.0,-1211632000.0,707570000.0,71745000.0,
Net Other Financing Charges,-136060000.0,-325916000.0,1100320000.0,250256000.0,414790000.0,
Proceeds From Stock Option Exercised,7165000.0,48799000.0,2283000.0,66726000.0,1852000.0,
Net Common Stock Issuance,-403027000.0,-692204000.0,-445298000.0,-183160000.0,-345576000.0,
Common Stock Payments,-403027000.0,-692204000.0,-445298000.0,-183160000.0,-345576000.0,
Net Issuance Payments Of Debt,1998481000.0,61493000.0,-1868937000.0,573748000.0,679000.0,
Net Short Term Debt Issuance,,,,,,-630005000.0
Short Term Debt Payments,,,,,,-790592000.0
Short Term Debt Issuance,,,,,,160587000.0
Net Long Term Debt Issuance,1998481000.0,61493000.0,-1868937000.0,573748000.0,679000.0,
Long Term Debt Payments,-214552000.0,-151180000.0,-2091761000.0,-275638000.0,-86046000.0,
Long Term Debt Issuance,2213033000.0,212673000.0,222824000.0,849386000.0,86725000.0,
Investing Cash Flow,-1100742000.0,-485780000.0,914708000.0,-323156000.0,105694000.0,
Cash Flow From Continuing Investing Activities,-1100742000.0,-485780000.0,914708000.0,-323156000.0,105694000.0,
Net Other Investing Changes,312280000.0,152137000.0,703556000.0,-341116000.0,84398000.0,
Net Investment Purchase And Sale,-1362376000.0,-606607000.0,243034000.0,44953000.0,77895000.0,
Sale Of Investment,5335364000.0,696836000.0,412699000.0,223996000.0,374176000.0,
Purchase Of Investment,-6697740000.0,-1303443000.0,-169665000.0,-179043000.0,-296281000.0,
Net PPE Purchase And Sale,-50646000.0,-31310000.0,-31882000.0,-26993000.0,-56599000.0,
Purchase Of PPE,-50646000.0,-31310000.0,-31882000.0,-26993000.0,-56599000.0,
Operating Cash Flow,1451056000.0,374322000.0,133336000.0,13800000.0,684763000.0,
Cash Flow From Continuing Operating Activities,1451056000.0,374322000.0,133336000.0,13800000.0,684763000.0,
Change In Working Capital,64761000.0,-251344000.0,-168502000.0,-151012000.0,199394000.0,
Change In Other Working Capital,99824000.0,-231773000.0,-244809000.0,12820000.0,-23997000.0,
Change In Payables And Accrued Expense,-2241000.0,150728000.0,164574000.0,-534218000.0,-2183451000.0,
Change In Payable,-2241000.0,150728000.0,164574000.0,-534218000.0,-2183451000.0,
Change In Account Payable,-2241000.0,150728000.0,164574000.0,-534218000.0,-2183451000.0,
Change In Receivables,-32822000.0,-170299000.0,-88267000.0,370386000.0,2406842000.0,
Changes In Account Receivables,-32822000.0,-170299000.0,-88267000.0,370386000.0,2406842000.0,
Other Non Cash Items,12958039000.0,-251893000.0,-392144000.0,-174709000.0,10670299000.0,
Stock Based Compensation,309380000.0,297341000.0,315236000.0,316934000.0,324054000.0,
Unrealized Gain Loss On Investment Securities,,,,,,1111000.0
Deferred Tax,130737000.0,44420000.0,7599000.0,-1671180000.0,1840000.0,
Deferred Income Tax,130737000.0,44420000.0,7599000.0,-1671180000.0,1840000.0,
Depreciation Amortization Depletion,92119000.0,92397000.0,88948000.0,88878000.0,92706000.0,
Depreciation And Amortization,92119000.0,92397000.0,88948000.0,88878000.0,92706000.0,
Operating Gains Losses,-12565578000.0,-94933000.0,93477000.0,-32715000.0,-10884666000.0,
Earnings Losses From Equity Investments,-171126000.0,-1582000.0,126000.0,-32715000.0,2953000.0,
Gain Loss On Investment Securities,,,93351000.0,,,-233404000.0
Net Income From Continuing Operations,461598000.0,538334000.0,188722000.0,1924669000.0,281136000.0,
