,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,115000000.0,-205000000.0,-651000000.0,-507000000.0,-260000000.0,,
Repayment Of Debt,0.0,-24000000.0,-300000000.0,-44000000.0,-499000000.0,,
Issuance Of Debt,361000000.0,500000000.0,1099000000.0,925000000.0,140000000.0,,
Issuance Of Capital Stock,10000000.0,12000000.0,13000000.0,243000000.0,9000000.0,,
Capital Expenditure,-989000000.0,-1067000000.0,-1082000000.0,-1324000000.0,-1157000000.0,,
End Cash Position,435000000.0,394000000.0,376000000.0,328000000.0,324000000.0,,
Beginning Cash Position,394000000.0,376000000.0,328000000.0,324000000.0,301000000.0,,
Changes In Cash,41000000.0,18000000.0,48000000.0,4000000.0,23000000.0,,
Financing Cash Flow,-62000000.0,180000000.0,704000000.0,537000000.0,300000000.0,,
Cash Flow From Continuing Financing Activities,-62000000.0,180000000.0,704000000.0,537000000.0,300000000.0,,
Net Other Financing Charges,-4000000.0,-5000000.0,-25000000.0,-13000000.0,-17000000.0,,
Cash Dividends Paid,-192000000.0,-193000000.0,-191000000.0,-179000000.0,-179000000.0,,
Common Stock Dividend Paid,-192000000.0,-193000000.0,-191000000.0,-179000000.0,-179000000.0,,
Net Common Stock Issuance,10000000.0,12000000.0,13000000.0,243000000.0,9000000.0,,
Common Stock Issuance,10000000.0,12000000.0,13000000.0,243000000.0,9000000.0,,
Net Issuance Payments Of Debt,124000000.0,366000000.0,907000000.0,486000000.0,487000000.0,,
Net Short Term Debt Issuance,-237000000.0,-110000000.0,108000000.0,-395000000.0,846000000.0,,
Net Long Term Debt Issuance,361000000.0,476000000.0,799000000.0,881000000.0,-359000000.0,,
Long Term Debt Payments,0.0,-24000000.0,-300000000.0,-44000000.0,-499000000.0,,
Long Term Debt Issuance,361000000.0,500000000.0,1099000000.0,925000000.0,140000000.0,,
Investing Cash Flow,-1001000000.0,-1024000000.0,-1087000000.0,-1350000000.0,-1174000000.0,,
Cash Flow From Continuing Investing Activities,-1001000000.0,-1024000000.0,-1087000000.0,-1350000000.0,-1174000000.0,,
Net Other Investing Changes,-8000000.0,50000000.0,9000000.0,-25000000.0,-12000000.0,,
Net Investment Purchase And Sale,-4000000.0,-7000000.0,-14000000.0,-1000000.0,-5000000.0,,
Sale Of Investment,125000000.0,130000000.0,93000000.0,84000000.0,171000000.0,,
Purchase Of Investment,-129000000.0,-137000000.0,-107000000.0,-85000000.0,-176000000.0,,
Capital Expenditure Reported,-989000000.0,-1067000000.0,-1082000000.0,-1324000000.0,-1157000000.0,,
Operating Cash Flow,1104000000.0,862000000.0,431000000.0,817000000.0,897000000.0,,
Cash Flow From Continuing Operating Activities,1104000000.0,862000000.0,431000000.0,817000000.0,897000000.0,,
Change In Working Capital,-54000000.0,139000000.0,-393000000.0,237000000.0,-93000000.0,,
Change In Other Working Capital,,,-109000000.0,-37000000.0,143000000.0,-73000000.0,-151000000.0
Change In Other Current Liabilities,,,-10000000.0,33000000.0,-111000000.0,87000000.0,13000000.0
Change In Other Current Assets,,,0.0,19000000.0,0.0,-68000000.0,15000000.0
Change In Payables And Accrued Expense,,,-299000000.0,101000000.0,26000000.0,125000000.0,-214000000.0
Change In Payable,,,-299000000.0,101000000.0,26000000.0,125000000.0,-214000000.0
Change In Account Payable,,,-291000000.0,243000000.0,-29000000.0,74000000.0,-284000000.0
Change In Tax Payable,,,-8000000.0,-142000000.0,55000000.0,51000000.0,70000000.0
Change In Income Tax Payable,,,-8000000.0,-142000000.0,55000000.0,51000000.0,70000000.0
Change In Inventory,,,93000000.0,29000000.0,-53000000.0,-61000000.0,54000000.0
Change In Receivables,,,-68000000.0,92000000.0,-98000000.0,-137000000.0,52000000.0
Other Non Cash Items,2000000.0,-15000000.0,-4000000.0,-20000000.0,53000000.0,,
Stock Based Compensation,7000000.0,7000000.0,7000000.0,6000000.0,8000000.0,,
Deferred Tax,83000000.0,56000000.0,116000000.0,-18000000.0,69000000.0,,
Deferred Income Tax,83000000.0,56000000.0,116000000.0,-18000000.0,69000000.0,,
Depreciation Amortization Depletion,425000000.0,398000000.0,415000000.0,404000000.0,403000000.0,,
Depreciation And Amortization,425000000.0,398000000.0,415000000.0,404000000.0,403000000.0,,
Depreciation,425000000.0,398000000.0,415000000.0,404000000.0,403000000.0,,
Net Income From Continuing Operations,641000000.0,277000000.0,290000000.0,208000000.0,457000000.0,,
