,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-68340000.0,-2660000.0,65513000.0,-5652173.913043,117943000.0,,
Tax Rate For Calcs,0.268,0.266,0.191,0.043478,0.203,,
Normalized EBITDA,1932000000.0,1460000000.0,1587000000.0,1463000000.0,1726000000.0,,
Total Unusual Items,-255000000.0,-10000000.0,343000000.0,-130000000.0,581000000.0,,
Total Unusual Items Excluding Goodwill,-255000000.0,-10000000.0,343000000.0,-130000000.0,581000000.0,,
Net Income From Continuing Operation Net Minority Interest,834000000.0,723000000.0,1116000000.0,728000000.0,1372000000.0,,
Reconciled Depreciation,298000000.0,290000000.0,290000000.0,322000000.0,310000000.0,,
Reconciled Cost Of Revenue,3792000000.0,3646000000.0,3478000000.0,3744000000.0,3647000000.0,,
EBITDA,1677000000.0,1450000000.0,1930000000.0,1333000000.0,2307000000.0,,
EBIT,1379000000.0,1160000000.0,1640000000.0,1011000000.0,1997000000.0,,
Net Interest Income,-186000000.0,-187000000.0,-176000000.0,-160000000.0,-169000000.0,,
Interest Expense,232000000.0,237000000.0,255000000.0,252000000.0,276000000.0,,
Interest Income,46000000.0,50000000.0,79000000.0,92000000.0,107000000.0,,
Normalized Income,1020660000.0,730340000.0,838513000.0,852347826.086957,908943000.0,,
Net Income From Continuing And Discontinued Operation,834000000.0,723000000.0,1116000000.0,728000000.0,1372000000.0,,
Total Expenses,4909000000.0,5201000000.0,4708000000.0,4925000000.0,4978000000.0,,
Total Operating Income As Reported,1447000000.0,1140000000.0,1246000000.0,1085000000.0,1316000000.0,,
Diluted Average Shares,538100000.0,540600000.0,547700000.0,546300000.0,552700000.0,,
Basic Average Shares,534100000.0,537400000.0,543800000.0,543600000.0,550600000.0,,
Diluted EPS,1.55,1.34,2.04,1.33,2.48,,
Basic EPS,1.56,1.35,2.05,1.34,2.49,,
Diluted NI Availto Com Stockholders,834000000.0,723000000.0,1116000000.0,728000000.0,1372000000.0,,
Net Income Common Stockholders,834000000.0,723000000.0,1116000000.0,728000000.0,1372000000.0,,
Net Income,834000000.0,723000000.0,1116000000.0,728000000.0,1372000000.0,,
Minority Interests,-7000000.0,-2000000.0,-6000000.0,0.0,-4000000.0,,
Net Income Including Noncontrolling Interests,841000000.0,725000000.0,1122000000.0,728000000.0,1376000000.0,,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,,-59000000.0,
Net Income Continuous Operations,841000000.0,725000000.0,1122000000.0,728000000.0,1376000000.0,,
Earnings From Equity Interest Net Of Tax,2000000.0,47000000.0,2000000.0,2000000.0,3000000.0,,
Tax Provision,308000000.0,245000000.0,265000000.0,33000000.0,348000000.0,,
Pretax Income,1147000000.0,923000000.0,1385000000.0,759000000.0,1721000000.0,,
Other Income Expense,-275000000.0,-33000000.0,315000000.0,-166000000.0,574000000.0,,
Other Non Operating Income Expenses,-20000000.0,-23000000.0,-28000000.0,-36000000.0,-7000000.0,,
Special Income Charges,-255000000.0,-3000000.0,,0.0,0.0,0.0,
Gain On Sale Of Business,-161000000.0,-3000000.0,,0.0,0.0,0.0,
Restructuring And Mergern Acquisition,94000000.0,,,,-581000000.0,-1113000000.0,
Gain On Sale Of Security,,-7000000.0,343000000.0,-130000000.0,581000000.0,1113000000.0,
Net Non Operating Interest Income Expense,-186000000.0,-187000000.0,-176000000.0,-160000000.0,-169000000.0,,
Interest Expense Non Operating,232000000.0,237000000.0,255000000.0,252000000.0,276000000.0,,
Interest Income Non Operating,46000000.0,50000000.0,79000000.0,92000000.0,107000000.0,,
Operating Income,1608000000.0,1143000000.0,1246000000.0,1085000000.0,1316000000.0,,
Operating Expense,1117000000.0,1555000000.0,1230000000.0,1181000000.0,1331000000.0,,
Research And Development,297000000.0,288000000.0,285000000.0,282000000.0,269000000.0,,
Selling General And Administration,820000000.0,1267000000.0,945000000.0,899000000.0,1062000000.0,,
General And Administrative Expense,,,,,,1132000000.0,1736000000.0
Other Gand A,,,,,,1132000000.0,1736000000.0
Salaries And Wages,,,,,,796000000.0,-11000000.0
Gross Profit,2725000000.0,2698000000.0,2476000000.0,2266000000.0,2647000000.0,,
Cost Of Revenue,3792000000.0,3646000000.0,3478000000.0,3744000000.0,3647000000.0,,
Total Revenue,6517000000.0,6344000000.0,5954000000.0,6010000000.0,6294000000.0,,
Operating Revenue,6517000000.0,6344000000.0,5954000000.0,6010000000.0,6294000000.0,,
