,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-44.970772,-46794.070132,-9450.0,-11085.950416,-3835.109018,,
Tax Rate For Calcs,0.004997,0.006295,0.21,0.003905,0.003295,,
Normalized EBITDA,988784000.0,1105904000.0,760101000.0,838604000.0,956431000.0,,
Total Unusual Items,-9000.0,-7434000.0,-45000.0,-2839000.0,-1164000.0,,
Total Unusual Items Excluding Goodwill,-9000.0,-7434000.0,-45000.0,-2839000.0,-1164000.0,,
Net Income From Continuing Operation Net Minority Interest,762040000.0,865079000.0,543607000.0,614594000.0,732898000.0,,
Reconciled Depreciation,937000.0,741000.0,996000.0,992000.0,1008000.0,,
Reconciled Cost Of Revenue,6765000.0,6619000.0,6352000.0,6747000.0,6824000.0,,
EBITDA,988775000.0,1098470000.0,760056000.0,835765000.0,955267000.0,,
EBIT,987838000.0,1097729000.0,759060000.0,834773000.0,954259000.0,,
Net Interest Income,-206452000.0,-211504000.0,-205554000.0,-204042000.0,-204520000.0,,
Interest Expense,210333000.0,213797000.0,209251000.0,208121000.0,207317000.0,,
Interest Income,3881000.0,2293000.0,3697000.0,4079000.0,2797000.0,,
Normalized Income,762048955.029228,872466205.929868,543642550.0,617421914.049584,734058164.890982,,
Net Income From Continuing And Discontinued Operation,762040000.0,865079000.0,543607000.0,614594000.0,732898000.0,,
Total Expenses,23440000.0,-100544000.0,228678000.0,142330000.0,11979000.0,,
Diluted Average Shares,1068369218.0,1057270580.0,1056432790.0,1055807977.0,1048338348.0,,
Basic Average Shares,1067253644.0,1056222836.0,1056012414.0,1054993118.0,1046626838.0,,
Diluted EPS,0.71,0.82,0.51,0.58,0.7,,
Basic EPS,0.71,0.82,0.51,0.58,0.7,,
Diluted NI Availto Com Stockholders,762040000.0,865079000.0,543607000.0,614594000.0,732898000.0,,
Net Income Common Stockholders,762040000.0,865079000.0,543607000.0,614594000.0,732898000.0,,
Net Income,762040000.0,865079000.0,543607000.0,614594000.0,732898000.0,,
Minority Interests,-11580000.0,-13289000.0,-8658000.0,-9611000.0,-11583000.0,,
Net Income Including Noncontrolling Interests,773620000.0,878368000.0,552265000.0,624205000.0,744481000.0,,
Net Income Continuous Operations,773620000.0,878368000.0,552265000.0,624205000.0,744481000.0,,
Tax Provision,3885000.0,5564000.0,-2456000.0,2447000.0,2461000.0,,
Pretax Income,777505000.0,883932000.0,549809000.0,626652000.0,746942000.0,,
Other Income Expense,-91000.0,-6442000.0,-163000.0,-3028000.0,-1228000.0,,
Other Non Operating Income Expenses,-82000.0,992000.0,-118000.0,-189000.0,-64000.0,,
Special Income Charges,-9000.0,-7434000.0,-45000.0,-2839000.0,-1164000.0,,
Restructuring And Mergern Acquisition,9000.0,7434000.0,45000.0,2839000.0,1164000.0,,
Earnings From Equity Interest,,,,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-206452000.0,-211504000.0,-205554000.0,-204042000.0,-204520000.0,,
Interest Expense Non Operating,210333000.0,213797000.0,209251000.0,208121000.0,207317000.0,,
Interest Income Non Operating,3881000.0,2293000.0,3697000.0,4079000.0,2797000.0,,
Operating Income,984048000.0,1101878000.0,755526000.0,833722000.0,952690000.0,,
Operating Expense,16675000.0,-107163000.0,222326000.0,135583000.0,5155000.0,,
Other Operating Expenses,19547000.0,19536000.0,19513000.0,19472000.0,19315000.0,,
Provision For Doubtful Accounts,-20153000.0,-142001000.0,186957000.0,94428000.0,-31626000.0,,
Depreciation Amortization Depletion Income Statement,937000.0,741000.0,996000.0,992000.0,1008000.0,,
Depreciation And Amortization In Income Statement,937000.0,741000.0,996000.0,992000.0,1008000.0,,
Depreciation Income Statement,937000.0,741000.0,996000.0,992000.0,1008000.0,,
Selling General And Administration,16344000.0,14561000.0,14860000.0,20691000.0,16458000.0,,
General And Administrative Expense,16344000.0,14561000.0,14860000.0,20691000.0,16458000.0,,
Other Gand A,16344000.0,14561000.0,14860000.0,20691000.0,16458000.0,,
Gross Profit,1000723000.0,994715000.0,977852000.0,969305000.0,957845000.0,,
Cost Of Revenue,6765000.0,6619000.0,6352000.0,6747000.0,6824000.0,,
Total Revenue,1007488000.0,1001334000.0,984204000.0,976052000.0,964669000.0,,
Operating Revenue,987941000.0,981798000.0,964691000.0,956580000.0,945354000.0,,
