,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.145,0.151,0.168,0.148885,0.136
Net Income From Continuing Operation Net Minority Interest,624917000.0,764244000.0,614852000.0,703873000.0,780835000.0
Reconciled Depreciation,8975000.0,8974000.0,8975000.0,9021000.0,8981000.0
Net Interest Income,-18750000.0,-35433000.0,-20695000.0,-16985000.0,-1563000.0
Interest Expense,126288000.0,135822000.0,118115000.0,115532000.0,111337000.0
Interest Income,107538000.0,100389000.0,97420000.0,98547000.0,109774000.0
Normalized Income,624917000.0,764244000.0,614852000.0,703873000.0,780835000.0
Net Income From Continuing And Discontinued Operation,624917000.0,764244000.0,614852000.0,703873000.0,780835000.0
Diluted Average Shares,782681135.0,782401237.0,772434602.0,768769985.0,768280366.0
Basic Average Shares,782633394.0,782386121.0,771796385.0,768689957.0,768230595.0
Diluted EPS,0.8,0.98,0.8,0.92,1.02
Basic EPS,0.8,0.98,0.8,0.92,1.02
Diluted NI Availto Com Stockholders,624917000.0,764244000.0,614852000.0,703873000.0,780835000.0
Net Income Common Stockholders,624917000.0,764244000.0,614852000.0,703873000.0,780835000.0
Net Income,624917000.0,764244000.0,614852000.0,703873000.0,780835000.0
Minority Interests,-612008000.0,-861889000.0,-593922000.0,-624953000.0,-783802000.0
Net Income Including Noncontrolling Interests,1236925000.0,1626133000.0,1208774000.0,1328826000.0,1564637000.0
Net Income Continuous Operations,1236925000.0,1626133000.0,1208774000.0,1328826000.0,1564637000.0
Tax Provision,209657000.0,289494000.0,243827000.0,232451000.0,245303000.0
Pretax Income,1446582000.0,1915627000.0,1452601000.0,1561277000.0,1809940000.0
Gain On Sale Of Security,1258582000.0,1063321000.0,805167000.0,1963289000.0,552832000.0
Operating Expense,1239299000.0,1245609000.0,1373839000.0,1141366000.0,1076456000.0
Selling General And Administration,393640000.0,375251000.0,344477000.0,345382000.0,344415000.0
General And Administrative Expense,393640000.0,375251000.0,344477000.0,345382000.0,344415000.0
Total Revenue,2685881000.0,3161236000.0,2826440000.0,2702643000.0,2886396000.0
Operating Revenue,2685881000.0,3161236000.0,2826440000.0,2702643000.0,2886396000.0
