Date,Return,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Return_Lag10,Return_Lag20,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,Volatility_5,ATR_5,Volatility_10,ATR_10,Volatility_20,ATR_20,RSI_14,MACD,MACD_Signal,MACD_Diff,Volume_MA_20,Volume_Ratio,BB_Middle,BB_Upper,BB_Lower,BB_Width,Sentiment,Sentiment_Lag1,Sentiment_Lag2,Sentiment_Lag3,Sentiment_Lag5,Sentiment_Lag10,Sentiment_Lag20,VIX,VIX_Lag1,VIX_Lag2,VIX_Lag3,VIX_Lag5,VIX_Lag10,VIX_Lag20,roe,roa,op_margin,debt_to_equity,liquidity_ratio,current_ratio,free_cf_margin,revenue_growth,ocf_to_assets,GDP_GDP_SA_PC_QOQ,GDP_GDP_SA_PC_YOY,GDP_GDP_NSA_PC_QOQ,GDP_GDP_NSA_PC_YOY,IPI_IPI,IPI_IPI_YOY,IPI_IPI_QOQ,IPI_IPI_SA,IPI_IPI_SA_YOY,IPI_IPI_SA_QOQ,IPI_Unnamed: 7,UNEMP_UNRATE,UNEMP_UNRATE_PC1,UNEMP_UNRATE_PCH,UNEMP_UNRATENSA,UNEMP_UNRATENSA_PC1,UNEMP_UNRATENSA_PCH
2020-12-09,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,22.27000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-10,-0.018521421606127242,,,,,,,,,,,,,,,,,,,-0.2799995617988884,-0.055999912359777686,-0.22399964943911072,,,,,,,,,,,,,,22.52000046,22.27000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,-0.05913978494623651,-0.018521421606127242,,,,,,,,,,,,,,,,,,-1.373674437147855,-0.3195348173173932,-1.0541396198304618,,,,,,,,,,,,,,23.30999947,22.52000046,22.27000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14,-0.08571428571428574,-0.05913978494623651,-0.018521421606127242,,,,,,,,,,,,,,,,,-3.411469004020745,-0.9379216546580635,-2.4735473493626814,,,,,,,,,,,,,,24.71999931,23.30999947,22.52000046,22.27000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,-0.006937503814697266,-0.08571428571428574,-0.05913978494623651,-0.018521421606127242,,,,173.87999877929687,,,,,,17.393801879882812,,,,,,-5.057701616453215,-1.7618776470170938,-3.2958239694361215,,,,,,,,,,,,,,22.88999939,24.71999931,23.30999947,22.52000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,-0.005286653289177101,-0.006937503814697266,-0.08571428571428574,-0.05913978494623651,,,,167.58800048828124,,,,,0.0356949796458758,13.107803344726562,,,,,,-6.35685563187792,-2.680873243989259,-3.675982387888661,,,,,,,,,,,,,,22.5,22.88999939,24.71999931,23.30999947,22.27000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,-0.0242960851866173,-0.005286653289177101,-0.006937503814697266,-0.08571428571428574,-0.018521421606127242,,,161.2300018310547,,,,,0.03511232716896274,12.438003540039062,,,,,,-7.608593036935503,-3.666417202578508,-3.942175834356995,,,,,,,,,,,,,,21.93000031,22.5,22.88999939,24.71999931,22.52000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18,0.07872381078469126,-0.0242960851866173,-0.005286653289177101,-0.006937503814697266,-0.05913978494623651,,,159.5000030517578,,,,,0.05880501270076194,14.21400146484375,,,,,,-7.534158368368367,-4.43996543573648,-3.094192932631887,,,,,,,,,,,,,,21.56999969,21.93000031,22.5,22.88999939,23.30999947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,-0.036789961836059204,0.07872381078469126,-0.0242960851866173,-0.005286653289177101,-0.08571428571428574,,,159.54600219726564,,,,,0.04530854132094472,14.146002197265625,,,,,,-7.878187209388045,-5.127609790466793,-2.750577418921252,,,,,,,,,,,,,,25.15999985,21.56999969,21.93000031,22.5,24.71999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,-0.02146915392331261,-0.036789961836059204,0.07872381078469126,-0.0242960851866173,-0.006937503814697266,,,159.1260009765625,166.50299987792968,,,,0.04640443125841495,14.571603393554687,,15.98270263671875,,,,-8.332361713098123,-5.768560174993059,-2.5638015381050643,,,,,,,,,,,,,,24.22999954,25.15999985,21.56999969,21.93000031,22.88999939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,0.009120530619327383,-0.02146915392331261,-0.036789961836059204,0.07872381078469126,-0.005286653289177101,,,159.16000061035157,163.3740005493164,,,,0.046582596211895366,14.77960205078125,0.04352311620226628,13.943702697753906,,,,-8.479166042157658,-6.310681348425979,-2.1684846937316786,,,,,,,,,,,,,,23.30999947,24.22999954,25.15999985,21.56999969,22.5,22.27000046,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,0.0015169099438274714,0.009120530619327383,-0.02146915392331261,-0.036789961836059204,-0.0242960851866173,-0.018521421606127242,,160.01000061035157,160.62000122070313,,,,0.04445188627456786,13.543600463867188,0.04390647505872878,12.990802001953124,,,,-8.478409268693696,-6.744226932479522,-1.7341823362141735,,,,,,,,,,,,,,21.53000069,23.30999947,24.22999954,25.15999985,21.93000031,22.52000046,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,-0.06670457450696132,0.0015169099438274714,0.009120530619327383,-0.02146915392331261,0.07872381078469126,-0.05913978494623651,,156.31799926757813,157.90900115966798,,,,0.03055860329986228,12.406600952148438,0.0448068880885107,13.310301208496094,,,,-9.224387773824105,-7.240259100748439,-1.9841286730756664,,,,,,,,,,,,,,21.70000076,21.53000069,23.30999947,24.22999954,21.56999969,23.30999947,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,-0.04476296669489921,-0.06670457450696132,0.0015169099438274714,0.009120530619327383,-0.036789961836059204,-0.08571428571428574,,152.5260009765625,156.03600158691407,,,,0.03165521907575828,10.266598510742188,0.03922970067799818,12.206300354003906,,,18.204600485722594,-10.231813417974593,-7.83856996419367,-2.393243453780922,,,,,,,,,,,,,,23.07999992,21.70000076,21.53000069,23.30999947,25.15999985,24.71999931,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,-0.0075742004095581406,-0.04476296669489921,-0.06670457450696132,0.0015169099438274714,-0.02146915392331261,-0.006937503814697266,,149.20800170898437,154.16700134277343,,,,0.03257981950813576,9.9449951171875,0.03922164880263634,12.258299255371094,,,17.951395624400234,-10.98986186113018,-8.468828343580974,-2.5210335175492062,,,,,,,,,,,,,,22.77000046,23.07999992,21.70000076,21.53000069,24.22999954,22.88999939,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,0.01818832458818953,-0.0075742004095581406,-0.04476296669489921,-0.06670457450696132,0.009120530619327383,-0.005286653289177101,,146.11400146484374,152.63700103759766,,,,0.034893265104756904,9.90699462890625,0.040338244178044706,12.34329833984375,,,21.534828266889917,-11.255114821170196,-9.026085639098818,-2.2290291820713772,,,,,,,,,,,,,,22.75,22.77000046,23.07999992,21.70000076,23.30999947,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,-0.024938686925350284,0.01818832458818953,-0.0075742004095581406,-0.04476296669489921,0.0015169099438274714,-0.0242960851866173,,142.26000061035157,151.13500061035157,,,,0.0327819101527485,10.090994262695313,0.040365105318704554,11.81729736328125,,,23.872769407799822,-11.618659084323895,-9.544600328143833,-2.0740587561800616,,,,,,,,,,,,,,26.96999931,22.75,22.77000046,23.07999992,21.53000069,21.93000031,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,0.03764631182171896,-0.024938686925350284,0.01818832458818953,-0.0075742004095581406,-0.06670457450696132,0.07872381078469126,,141.56799926757813,148.94299926757813,,,,0.032936091856928425,8.358993530273438,0.031512291161627536,10.382797241210938,,,36.753443806548624,-11.353075920413545,-9.906295446597776,-1.4467804738157692,,,,,,,,,,,,,,25.34000015,26.96999931,22.75,22.77000046,21.70000076,21.56999969,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,-0.03060304918014778,0.03764631182171896,-0.024938686925350284,0.01818832458818953,-0.04476296669489921,-0.036789961836059204,,141.3159973144531,146.9209991455078,,,,0.02895388452084852,7.564993286132813,0.031063437384144157,8.9157958984375,,,34.7938146863838,-11.368210606947656,-10.198678478667752,-1.1695321282799043,,,,,,,,,,,,,,25.06999969,25.34000015,26.96999931,22.75,23.07999992,25.15999985,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,0.09113642072889294,-0.03060304918014778,0.03764631182171896,-0.024938686925350284,-0.0075742004095581406,-0.02146915392331261,,143.8299987792969,146.5190002441406,156.51100006103516,,,0.0498510975409224,8.9699951171875,0.04494398230920713,9.4574951171875,,12.720098876953125,46.432434728494705,-10.23262349279264,-10.20546748149273,-0.027156011299910077,5011580.0,0.6415541605641335,156.51100006103516,185.3027288789259,127.71927124314443,0.36791955589910896,,,,,,,,22.37000084,25.06999969,25.34000015,26.96999931,22.77000046,24.22999954,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,0.02173196290227608,0.09113642072889294,-0.03060304918014778,0.03764631182171896,0.01818832458818953,0.009120530619327383,,146.497998046875,146.30599975585938,154.8400001525879,,,0.049874548398659145,8.947994995117188,0.04545530036917905,9.42749481201172,0.04414147916626253,11.685598754882813,51.27925214516942,-8.961464723003928,-9.95666692979497,0.995202206791042,3870330.0,0.6585226582746174,154.8400001525879,179.08860781898414,130.59139248619164,0.31320857197752955,,,,,,,,21.55999947,22.37000084,25.06999969,25.34000015,22.75,23.30999947,22.27000046,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,0.06989559816820234,0.02173196290227608,0.09113642072889294,-0.03060304918014778,-0.024938686925350284,0.0015169099438274714,-0.018521421606127242,152.05999755859375,147.15999908447264,153.8900001525879,,,0.046936002819260185,10.8199951171875,0.050630319030354164,10.455494689941407,0.04741575495686303,11.723148345947266,50.4498225757332,-6.993103973365834,-9.363954338509144,2.37085036514331,3532015.0,0.7195043056159162,153.8900001525879,174.1610379893518,133.618962315824,0.26344840882012316,,,,,,,,24.07999992,21.55999947,22.37000084,25.06999969,26.96999931,21.53000069,22.52000046,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,0.14964075145607247,0.06989559816820234,0.02173196290227608,0.09113642072889294,0.03764631182171896,-0.06670457450696132,-0.05913978494623651,161.5720001220703,151.56999969482422,154.7395004272461,,,0.0685119877311156,17.025994873046876,0.06106764172105407,12.692494201660157,0.056769652892381645,13.001397705078125,67.42756849791064,-3.3777427886007843,-8.166712028527472,4.788969239926688,3648075.0,1.941242984313645,154.7395004272461,179.63249851364105,129.84650234085115,0.32174070638283986,,,,,,,,23.32999992,24.07999992,21.55999947,22.37000084,25.34000015,21.70000076,23.30999947,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,0.03130368422771834,0.14964075145607247,0.06989559816820234,0.02173196290227608,-0.03060304918014778,-0.04476296669489921,-0.08571428571428574,173.1700012207031,157.2429992675781,156.6395004272461,,,0.05142721213301383,21.753994750976563,0.055473396388727475,14.659494018554687,0.052689583904528936,13.432897186279297,71.99274144964821,-0.027272295278294223,-6.538824081877637,6.511551786599343,3558035.0,1.7028500281756644,156.6395004272461,188.14552123110718,125.13347962338504,0.40227427587455283,,,,,,,,22.20999908,23.32999992,24.07999992,21.55999947,25.06999969,23.07999992,24.71999931,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,0.04666669440991966,0.03130368422771834,0.14964075145607247,0.06989559816820234,0.09113642072889294,-0.0075742004095581406,-0.006937503814697266,184.06400146484378,163.9470001220703,159.05700073242187,,,0.05129585747735245,23.926992797851568,0.05339090496145569,16.448493957519535,0.05303900791520253,14.353396606445312,74.14778172568612,3.3351454501729734,-4.564030175467515,7.899175625640488,3532785.0,1.2771793358497616,159.05700073242187,197.86407987657861,120.24992158826511,0.4879644274122968,,,,,,,,23.25,22.20999908,23.32999992,24.07999992,22.37000084,22.77000046,22.88999939,,,,,,,,,,,,,,,,,,,,,,,,,,
