Date,Return,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Return_Lag10,Return_Lag20,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,Volatility_5,ATR_5,Volatility_10,ATR_10,Volatility_20,ATR_20,RSI_14,MACD,MACD_Signal,MACD_Diff,Volume_MA_20,Volume_Ratio,BB_Middle,BB_Upper,BB_Lower,BB_Width,Sentiment,Sentiment_Lag1,Sentiment_Lag2,Sentiment_Lag3,Sentiment_Lag5,Sentiment_Lag10,Sentiment_Lag20,VIX,VIX_Lag1,VIX_Lag2,VIX_Lag3,VIX_Lag5,VIX_Lag10,VIX_Lag20,roe,roa,op_margin,debt_to_equity,liquidity_ratio,current_ratio,free_cf_margin,revenue_growth,ocf_to_assets,GDP_GDP_SA_PC_QOQ,GDP_GDP_SA_PC_YOY,GDP_GDP_NSA_PC_QOQ,GDP_GDP_NSA_PC_YOY,IPI_IPI,IPI_IPI_YOY,IPI_IPI_QOQ,IPI_IPI_SA,IPI_IPI_SA_YOY,IPI_IPI_SA_QOQ,IPI_Unnamed: 7,UNEMP_UNRATE,UNEMP_UNRATE_PC1,UNEMP_UNRATE_PCH,UNEMP_UNRATENSA,UNEMP_UNRATENSA_PC1,UNEMP_UNRATENSA_PCH
2020-01-02,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,-0.025434955739972898,,,,,,,,,,,,,,,,,,,-0.05638309489627602,-0.011276618979255205,-0.045106475917020813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,-0.0014960553003792176,-0.025434955739972898,,,,,,,,,,,,,,,,,,-0.10314737953251907,-0.029650771089907976,-0.07349660844261109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,-0.003442584203019572,-0.0014960553003792176,-0.025434955739972898,,,,,,,,,,,,,,,,,-0.14603673499987835,-0.05292796387190205,-0.0931087711279763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,-0.012474321632453211,-0.003442584203019572,-0.0014960553003792176,-0.025434955739972898,,,,27.094401550292968,,,,,,0.4275307685978461,,,,,,-0.20479150505015298,-0.08330067210755224,-0.12149083294260074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,-0.008032680304914552,-0.012474321632453211,-0.003442584203019572,-0.0014960553003792176,,,,26.81633415222168,,,,,0.009531423819768101,0.50958901028377,,,,,,-0.26554320444688884,-0.11974917857541956,-0.14579402587146928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,-0.022987067336093014,-0.008032680304914552,-0.012474321632453211,-0.003442584203019572,-0.025434955739972898,,,26.5582633972168,,,,,0.008565658604987439,0.523897831207887,,,,,,-0.3585217822121649,-0.16750369930276865,-0.19101808290939626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,0.006550656566896462,-0.022987067336093014,-0.008032680304914552,-0.012474321632453211,-0.0014960553003792176,,,26.342086029052734,,,,,0.010921248279856183,0.5211394589922094,,,,,,-0.4138049525521019,-0.21676394995263532,-0.1970410025994666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,0.023241874887726777,0.006550656566896462,-0.022987067336093014,-0.008032680304914552,-0.003442584203019572,,,26.265200805664062,,,,,0.017986712733424136,0.5768218771077237,,,,,,-0.40427027100487933,-0.2542652141630841,-0.15000505684179521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,-0.01635426077293778,0.023241874887726777,0.006550656566896462,-0.022987067336093014,-0.012474321632453211,,,26.168661499023436,26.631531524658204,,,,0.018585378973565627,0.6130239016900084,,0.5202773351439273,,,,-0.4268484807481556,-0.28878186748009843,-0.1380666132680572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,0.012898462674060918,-0.01635426077293778,0.023241874887726777,0.006550656566896462,-0.008032680304914552,,,26.1822811126709,26.49930763244629,,,,0.01964108733473654,0.5045898082269197,0.015636757093355925,0.5070894092553448,,,,-0.41278812650514496,-0.31358311928510774,-0.09920500722003722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,0.005666615763454175,0.012898462674060918,-0.01635426077293778,0.023241874887726777,-0.022987067336093014,-0.025434955739972898,,26.347259521484375,26.452761459350587,,,,0.01452752299756485,0.47217996099591203,0.014081799396201381,0.49803889610189955,,,,-0.38510423771086266,-0.32788734297025873,-0.05721689474060393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,-0.002331554736966668,0.005666615763454175,0.012898462674060918,-0.01635426077293778,0.006550656566896462,-0.0014960553003792176,,26.466036224365233,26.404061126708985,,,,0.015038668591393588,0.45580289062327706,0.014083309601814522,0.4884711748077432,,,,-0.3639763844174446,-0.3351051512596959,-0.0288712331577487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
