ticker,quarter_end,release_date,days_after_quarter
AAPL,2024-03-31,2024-05-03,33
AAPL,2024-06-30,2024-08-02,33
AAPL,2024-09-30,2024-11-01,32
AAPL,2024-12-31,2025-01-31,31
AAPL,2025-03-31,2025-05-02,32
AAPL,2025-06-30,2025-08-01,32
AAPL,2025-09-30,2025-10-31,31
AAPL,2025-12-31,2026-01-30,30
