ticker,train_samples,test_samples,num_features,train_rmse,train_mae,train_r2,test_rmse,test_mae,test_r2,train_dir_acc,test_dir_acc,top_feature,top_feature_importance
A,1173,294,28,0.010006066870477651,0.007083381927267831,0.7192840568136996,0.019793547190204,0.014081302992076857,-0.03781190274816537,0.9215686274509803,0.5340136054421769,Volatility_5,0.10012285566729336
AAPL,1173,294,28,0.011392189856975349,0.008042102053920431,0.6881344239141697,0.01973525125664549,0.012939342376150001,-0.00804699213808191,0.9190110826939472,0.46938775510204084,Volatility_5,0.10111166240558797
ABBV,1173,294,28,0.008431822171574543,0.005690379112340052,0.6977274879526019,0.01735697560954006,0.011636998898624573,0.017984783333343857,0.928388746803069,0.5544217687074829,Volatility_5,0.10428275003414855
ABNB,983,246,28,0.01614963162223406,0.011635726045585071,0.7301131958969942,0.024956132736145012,0.01621498613918592,-0.0357731536312782,0.9369277721261444,0.5040650406504065,Volatility_5,0.08373728151832845
ABT,1173,294,28,0.009512436070203861,0.0066400807152926815,0.6798164773212623,0.014185943365210498,0.010230706470743303,-0.14139727989341866,0.9121909633418585,0.4965986394557823,Volatility_5,0.09186157038635681
ACGL,1173,294,28,0.011832417891505893,0.008086357293078111,0.7000399352648761,0.01691858787393731,0.012484326111959107,-0.0644192226293594,0.8934356351236147,0.47959183673469385,Volatility_5,0.10136720410859829
ACN,1173,294,28,0.010654284590729477,0.007320269255660822,0.6746330053407674,0.017479787500243194,0.01254298704923745,0.0009128832581793977,0.9113384484228474,0.54421768707483,Volatility_5,0.09289159182040714
ADBE,1173,294,28,0.013245339393318161,0.008821862949453618,0.7082601873921104,0.021489030214378365,0.013903119230381561,-0.043458489581129855,0.9173060528559249,0.47959183673469385,Volatility_5,0.10174548615341243
ADI,1173,294,28,0.012030469258790448,0.008495444502290858,0.7149406110379856,0.02432487015302795,0.016422483851950782,-0.030802837118520277,0.9317988064791134,0.4965986394557823,Volatility_5,0.09728073521945967
ADM,1173,294,28,0.010928860603581737,0.007140757110648211,0.6833816575422056,0.017701157205593267,0.01303006730628299,-0.055480271652652124,0.9258312020460358,0.5,Volatility_5,0.11650136701639821
ADP,1173,294,28,0.009997362489845474,0.00646682835409831,0.6853755119224963,0.01244800607389541,0.008479971072614223,-0.04721521753341418,0.9181585677749361,0.5136054421768708,Volatility_5,0.10488548115522205
ADSK,1173,294,28,0.01393446811187716,0.009879438474327904,0.6944911652738921,0.017255469240692028,0.012190710603666466,0.05270218031832963,0.9215686274509803,0.5340136054421769,Volatility_5,0.08972661185854688
AEE,1173,294,28,0.009958418804962201,0.006268592441342962,0.6508161645856878,0.013846576652559178,0.01089749719983543,-0.5852835398489111,0.9300937766410913,0.46598639455782315,Volatility_5,0.0980632300646821
AEP,1173,294,28,0.00900923850439868,0.006063448673966541,0.6789993314204951,0.013401858185854357,0.0100799887038483,-0.19847670677170615,0.9241261722080136,0.47278911564625853,Volatility_5,0.09555533682585234
AES,1173,294,28,0.013763225560068572,0.009562441253205352,0.7034703779543753,0.03420050553284664,0.0241933193489103,-0.19656176426166394,0.9087809036658141,0.4557823129251701,Volatility_5,0.09315979345624732
AFL,1173,294,28,0.012369096537276225,0.007452487866059144,0.6429831845620407,0.014271308935280993,0.009995340389116519,-0.14439933727213905,0.9002557544757033,0.5306122448979592,Volatility_5,0.08916464614720686
AIG,1173,294,28,0.015053570380854224,0.010598023471402582,0.6646404902266156,0.015175153969330262,0.011159798453224621,-0.08948757983358946,0.907075873827792,0.4965986394557823,Volatility_5,0.08331005362314356
AIZ,1173,294,28,0.011543461415337896,0.0073565459168009805,0.6595096827012145,0.017179766742054615,0.011776108965417552,-0.05164518597013745,0.928388746803069,0.46258503401360546,Volatility_5,0.11213994886656424
AJG,1173,294,28,0.009308186205852807,0.006279247906335388,0.6839207334265113,0.0157571480801919,0.011645760084134094,-0.07428891179900665,0.9113384484228474,0.5170068027210885,Volatility_5,0.10333537126015865
AKAM,1173,294,28,0.010073801163257467,0.006542763693152813,0.7074848519139032,0.02435614728382756,0.014419070185279671,0.011859810584305075,0.9147485080988917,0.5272108843537415,Volatility_5,0.10462828165670462
ALB,1173,294,28,0.018014458003435967,0.013044991353435766,0.7110518217433714,0.03837205307398377,0.02759750383284443,0.00375179187037733,0.9317988064791134,0.54421768707483,Volatility_5,0.09223740070265808
ALGN,1173,294,28,0.019433305578055744,0.012129919514013886,0.6873894575892661,0.04529156174164185,0.031083040145092822,-0.9767092568972338,0.9335038363171355,0.46938775510204084,Volatility_5,0.10965859205344845
ALL,1173,294,28,0.010296964432013786,0.007010173684497061,0.7005787762184355,0.016309286141434644,0.011889582943751108,-0.02780697729878412,0.928388746803069,0.5510204081632653,Volatility_5,0.09910451020641287
ALLE,1173,294,28,0.010970251143886662,0.007578612400860592,0.6952298509576889,0.015616378408110946,0.011030133076753905,-0.05582974894776016,0.9369138959931799,0.46598639455782315,Volatility_5,0.09639350532205299
AMAT,1173,294,28,0.016075845719664236,0.011820767453859616,0.7051883321781567,0.028264327265739245,0.019753427425620123,0.019065323726883743,0.9258312020460358,0.5136054421768708,Volatility_5,0.09620684834111187
AMCR,1173,294,28,0.011533981544793277,0.00758549617657592,0.6290206377936127,0.01677729789766802,0.011452118253052047,-0.15262138269477754,0.9198635976129582,0.48299319727891155,Volatility_5,0.10130157876740217
AMD,1173,294,28,0.018057342944510515,0.013066620997330003,0.7079835486300807,0.03577546552818863,0.024308729719207455,0.0035490122852076533,0.9053708439897699,0.5102040816326531,Volatility_5,0.08716761108365488
AME,1173,294,28,0.010266789448357476,0.0065427795661226525,0.6682929390223159,0.016121732215295562,0.010751650375523076,-0.20762454759206062,0.9241261722080136,0.5476190476190477,Volatility_5,0.10454839911057907
AMGN,1173,294,28,0.009344426077432782,0.006245553205249889,0.6811022497825676,0.016969877216367057,0.012310252220762409,-0.03601635606205078,0.9292412617220801,0.5238095238095238,Volatility_5,0.10503614026421583
AMP,1173,294,28,0.014785292187852682,0.009559122172907003,0.6602112458578777,0.01877429310135543,0.01258746551600057,-0.08472828493206408,0.907928388746803,0.42517006802721086,Volatility_5,0.09619829540514896
AMT,1173,294,28,0.010788220846369056,0.00754926650799066,0.6921970555512578,0.01690243038161913,0.011946922643523063,-0.09153438823244664,0.9258312020460358,0.54421768707483,Volatility_5,0.10316774087543235
AMZN,1173,294,28,0.01243762727770224,0.00880942524469536,0.7059426427729962,0.023517218384899775,0.01674526529442278,-0.1400675948114718,0.927536231884058,0.46598639455782315,Volatility_5,0.08612539728462959
ANET,1173,294,28,0.015010445552258745,0.010201627116852604,0.6928485100819085,0.03746691639343762,0.027144584619849057,-0.20557887652482099,0.9181585677749361,0.4421768707482993,Volatility_5,0.1090611484444313
AON,1173,294,28,0.009616408194803958,0.006109364364441292,0.6926250005053904,0.015224381096602534,0.01075921495828967,-0.2534779896972581,0.9292412617220801,0.4931972789115646,Volatility_5,0.10585929472665956
AOS,1173,294,28,0.010063688508408946,0.007147550598088717,0.7279492291004233,0.015737738447154325,0.011672478163077853,-0.018016759385863557,0.9224211423699915,0.5306122448979592,Volatility_5,0.09886061575802521
