ticker,train_samples,test_samples,num_features,train_rmse,train_mae,train_r2,train_dir_acc,test_rmse,test_mae,test_r2,test_dir_acc,xgb_dir_acc,dt_dir_acc,blend_weight,top_feature,top_feature_importance
A,1172,294,43,0.01184087870510905,0.008455587611715285,0.6072263773205211,0.8796928327645052,0.019911273577109898,0.014408873011877241,-0.05416408648480764,0.5068027210884354,0.46938775510204084,0.4965986394557823,0.7,Return_Lag1,0.12471810145839467
AAPL,1172,294,43,0.01255269925422456,0.009053928537810715,0.6216655538958105,0.8549488054607508,0.01957743110301298,0.012769840069629914,0.007983673342618958,0.5306122448979592,0.5204081632653061,0.54421768707483,0.7,Return_Lag1,0.21272087299978623
ABBV,1172,294,43,0.010282027222333817,0.007068410481810787,0.5508622422661238,0.8609215017064846,0.017832022879887978,0.011950014246303452,-0.060104800789541946,0.4897959183673469,0.5034013605442177,0.5238095238095238,0.7,Return_Lag1,0.17871187779836858
ABNB,982,246,43,0.015643079875315304,0.01143089654816693,0.7464866307519225,0.9205702647657841,0.026109904556537625,0.017349304344194575,-0.11774451442215339,0.508130081300813,0.5040650406504065,0.524390243902439,0.7,Return_Lag10,0.10776804303592259
ABT,1172,294,43,0.011225294106207389,0.007830326593787467,0.554484906001169,0.8532423208191127,0.013660119880580374,0.009634551616322769,-0.05962519799841237,0.5102040816326531,0.5170068027210885,0.46598639455782315,0.7,Return_Lag20,0.11896073369936837
ACGL,1172,294,43,0.012832366688259014,0.00915770733293001,0.6474983242746302,0.8498293515358362,0.018271751685268324,0.013386481633883065,-0.2415043220750992,0.445578231292517,0.4489795918367347,0.48299319727891155,0.7,Return_Lag1,0.17681146028867994
ACN,1172,294,43,0.011687680146392715,0.008308267461448443,0.6087698349851415,0.8438566552901023,0.01804225348479205,0.012662868222644664,-0.06421342280545472,0.48299319727891155,0.5,0.4897959183673469,0.7,Return_Lag1,0.22135896949340403
ADBE,1172,294,43,0.014027366075624428,0.009980722835732304,0.6730455678915983,0.863481228668942,0.021800669093872706,0.01491989965483748,-0.07331181597825975,0.5204081632653061,0.46938775510204084,0.4897959183673469,0.7,Return_Lag5,0.08695038230633592
ADI,1172,294,43,0.013304297879657314,0.009824259123871042,0.6515217963766777,0.871160409556314,0.024709833749665452,0.016372821790213,-0.06207827036047586,0.5068027210884354,0.5102040816326531,0.5102040816326531,0.7,Return_Lag1,0.1302148009308119
ADM,1172,294,43,0.012017394972394076,0.00821200790557017,0.6174922728148727,0.8720136518771331,0.017246868810606632,0.012578217355509201,-0.0020391266496186944,0.5306122448979592,0.5102040816326531,0.5102040816326531,0.7,IPI_IPI,0.13943953812122345
ADP,1172,294,43,0.011059394036861632,0.007566717659595068,0.6152295517130705,0.8549488054607508,0.012787077607352999,0.008856425596825094,-0.10337606090154128,0.48639455782312924,0.48639455782312924,0.48639455782312924,0.7,Return_Lag1,0.16389124471576502
ADSK,1172,294,43,0.014615577166364354,0.010459600680792606,0.6641815720293114,0.8796928327645052,0.01860754582895478,0.01321843036222585,-0.10158515446547223,0.5,0.48639455782312924,0.46258503401360546,0.7,Return_Lag20,0.11697088815515462
