ticker,yr,qtr,quarter_end_date,roe,roa,op_margin,debt_to_equity,liquidity_ratio,current_ratio,free_cf_margin,revenue_growth,ocf_to_assets,net_income,total_revenue,operating_income,total_assets,total_equity,total_debt,current_assets,current_liabilities,cash_equivalents,shares_outstanding,free_cash_flow,operating_cash_flow,prev_revenue
AAPL,2024,1,2024-03-31,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024,2,2024-06-30,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024,3,2024-09-30,25.875329236172078,4.037481505835936,31.171389444854103,1.872326602282704,0.08204011178694723,0.8673125765340832,25.17960602549247,,0.0734588196613513,14736000000.0,94930000000.0,29591000000.0,364980000000.0,56950000000.0,106629000000.0,152987000000.0,176392000000.0,29943000000.0,15116786000.0,23903000000.0,26811000000.0,
AAPL,2024,4,2024-12-31,54.420443991731325,10.55843759536161,34.458567980691875,1.4499985020521886,0.08805673016841768,0.9229383853427077,21.717618664521318,30.938586326767094,0.08699885202784195,36330000000.0,124300000000.0,42832000000.0,344085000000.0,66758000000.0,96799000000.0,133240000000.0,144365000000.0,30299000000.0,15037874000.0,26995000000.0,29935000000.0,94930000000.0
AAPL,2025,1,2025-03-31,37.09802982214504,7.481138654663032,31.029058610094484,1.4699383196598599,0.08502172186949972,0.8208700223419635,21.89725143929781,-23.283185840707965,0.07231163561601651,24780000000.0,95359000000.0,29589000000.0,331233000000.0,66796000000.0,98186000000.0,118674000000.0,144571000000.0,28162000000.0,14939315000.0,20881000000.0,23952000000.0,124300000000.0
AAPL,2025,2,2025-06-30,35.5977517849005,7.069186563899908,29.99064188183249,1.5448579674920249,0.10941039834688306,0.8679917800453515,25.952826577055593,-1.3873887100326137,0.0840646163592211,23434000000.0,94036000000.0,28202000000.0,331495000000.0,65830000000.0,101698000000.0,122491000000.0,141120000000.0,36269000000.0,14856722000.0,24405000000.0,27867000000.0,95359000000.0
AAPL,2025,3,2025-09-30,37.25062048200941,7.6455638415437,31.646594968086976,1.3380304612588665,0.10002755810166435,0.8932929222186667,25.848574161185173,8.964651835467267,0.08275224709874429,27466000000.0,102466000000.0,32427000000.0,359241000000.0,73733000000.0,98657000000.0,147957000000.0,165631000000.0,35934000000.0,14773260000.0,26486000000.0,29728000000.0,94036000000.0
