ticker,train_samples,test_samples,num_features,train_rmse,train_mae,train_r2,test_rmse,test_mae,test_r2,train_dir_acc,test_dir_acc,xgb_dir_acc,dt_dir_acc,top_feature,top_feat_imp
A,1173,294,28,0.009429858372220268,0.007118213703774155,0.7506837320513244,0.021082372592695922,0.014825825643278907,-0.17736292147709776,0.9011082693947144,0.48299319727891155,0.4897959183673469,0.48639455782312924,Volatility_5,0.0943220394069261
AAPL,1173,294,28,0.01019606058731596,0.0076894482404419075,0.7501853942106612,0.02038551676926236,0.01318548212628726,-0.07557056558708974,0.9104859335038363,0.5170068027210885,0.5,0.5510204081632653,Return_Lag2,0.1291939003716434
ABBV,1173,294,28,0.007895011067949403,0.005908173469411542,0.7349906088308209,0.017461171446617376,0.011831736023366424,0.006159103025368484,0.8738277919863597,0.5170068027210885,0.5,0.5374149659863946,Return_Lag20,0.07865300463486964
ABNB,983,246,28,0.012739405766495505,0.009754539526069405,0.832059767093738,0.026169323810931348,0.017044742224156882,-0.13892487562740685,0.930824008138352,0.46747967479674796,0.4715447154471545,0.4878048780487805,Volatility_5,0.08459950703452451
ABT,1173,294,28,0.008656086124180479,0.006474874469121866,0.7348701573981544,0.014568979590670238,0.010464195801474212,-0.20386741529891217,0.8797953964194374,0.46598639455782315,0.5170068027210885,0.46938775510204084,Volatility_10,0.09200567324586884
ACGL,1173,294,28,0.010145226670139444,0.007573502309686804,0.7794840796746094,0.01754897397335966,0.012931916715043472,-0.14521742112669456,0.8900255754475703,0.47619047619047616,0.5340136054421769,0.4387755102040816,Return_Lag2,0.11181747416618122
ACN,1173,294,28,0.009011219190117374,0.006694581845062095,0.767248752848785,0.017787743526488424,0.012617077171659368,-0.03460072710600626,0.8917306052855924,0.5612244897959183,0.5850340136054422,0.5170068027210885,Return_Lag2,0.09801065560895138
ADBE,1173,294,28,0.01111341624138404,0.008394222006267922,0.7946169120946907,0.021755685810430442,0.01422134295724817,-0.06951554253875458,0.8849104859335039,0.5,0.5204081632653061,0.5102040816326531,Volatility_5,0.09576494558703108
ADI,1173,294,28,0.01082861282282057,0.008190099927911948,0.7690511170238302,0.024631933387098844,0.016515788435407606,-0.05699162619857345,0.9087809036658141,0.48639455782312924,0.5306122448979592,0.5,Return_Lag1,0.1261534332241585
ADM,1173,294,28,0.00936008965995414,0.006964559876661025,0.7677550307014646,0.01883861878036948,0.013601358915076448,-0.1954871643110636,0.8925831202046036,0.4931972789115646,0.5034013605442177,0.4557823129251701,Volatility_10,0.17178855380311964
ADP,1173,294,28,0.008906672658161401,0.0064809238776908275,0.7502804027510354,0.01358316656438507,0.008998838411879873,-0.2469194920951776,0.8780903665814151,0.5034013605442177,0.5102040816326531,0.5102040816326531,Volatility_10,0.10042733647521453
AEE,1173,294,28,0.008630855994496745,0.006210894592381164,0.7377103833150104,0.01309473327372988,0.010101845160005106,-0.41780151252824327,0.8806479113384484,0.4421768707482993,0.445578231292517,0.41836734693877553,Return_Lag2,0.13569765277991702
AEP,1173,294,28,0.008258997457247057,0.006040192039893527,0.7302357263329505,0.01450100502679757,0.011316965997933437,-0.40312307773960954,0.8789428815004262,0.4387755102040816,0.45918367346938777,0.46598639455782315,Vol_Ratio,0.07248693765759533
AES,1173,294,28,0.011249590765959543,0.00849283494374398,0.8018924270375164,0.034605571778037685,0.0240604238200077,-0.22507345181263094,0.8985507246376812,0.5,0.5272108843537415,0.5068027210884354,Return_Lag1,0.08575321707821393
AFL,1173,294,28,0.010073537105211802,0.0069927935982775765,0.7632027281380787,0.014953445447354424,0.010769939252819837,-0.25641329665724055,0.8789428815004262,0.5510204081632653,0.5510204081632653,0.5340136054421769,Return_Lag2,0.10507806953549141
AIG,1173,294,28,0.011853135847410328,0.008692289710229386,0.7920791150231172,0.014855007224446385,0.010777125707201837,-0.04400314265786065,0.9138959931798807,0.5170068027210885,0.5102040816326531,0.5068027210884354,Return_Lag2,0.15213294199057226
AIZ,1173,294,28,0.00956973126834018,0.006926447940579056,0.7659912269163549,0.017462304187111838,0.01163195018430018,-0.08652021457352199,0.9011082693947144,0.5204081632653061,0.5476190476190477,0.5136054421768708,Return_Lag1,0.11671997554191568
AJG,1173,294,28,0.008272428673836962,0.006167538561886617,0.7503497838453319,0.015819983087859573,0.011655559410079645,-0.08287390991107269,0.8772378516624041,0.5136054421768708,0.4965986394557823,0.5068027210884354,Return_Lag1,0.11205217358237873
AKAM,1173,294,28,0.008330382779835206,0.006172996088959699,0.7999716615417398,0.024682947038085594,0.014752417043750372,-0.014834919997421814,0.8721227621483376,0.5612244897959183,0.5544217687074829,0.5204081632653061,Volatility_5,0.10822884165700107
