percentile,threshold,share_down,share_same,share_up,imbalance_score
33.0,0.005531910721740781,0.3241465706232383,0.3300970873786408,0.3457563419981209,0.0002492010412562428
34.0,0.00572268980638759,0.3181960538678359,0.33996241778891323,0.3418415283432509,0.0003454713726625673
32.0,0.00534744484140028,0.32947071719386156,0.3200751644221735,0.3504541183839649,0.0004838201270676825
35.0,0.005905516265226125,0.31334168493579706,0.34998434074538054,0.3366739743188224,0.000688081935680695
31.0,0.005160896855645045,0.3341684935797056,0.31005324146570623,0.35577826495458814,0.0010464351254850823
36.0,0.00613005627748666,0.3083307234575634,0.3600062637018478,0.3316630128405888,0.0013393656855920514
30.0,0.0049879958807445505,0.33823989978077046,0.300031318509239,0.3617287817099906,0.0019394000741587251
37.0,0.006331135093416365,0.3028499843407454,0.37002818665831505,0.32712182900093956,0.0023143296124171807
29.0,0.004820540847226825,0.34356404635139365,0.29000939555277166,0.36642655809583463,0.003076792598853317
38.0,0.0065492058061548996,0.29768243031631697,0.38005010961478236,0.3222674600689007,0.0035758976231641494
28.0,0.004665122303846782,0.3498277481991857,0.2799874725963044,0.3701847792045099,0.00447587564233759
39.0,0.006769344676884395,0.2937676166614469,0.3900720325712496,0.3161603507673035,0.005079637257183879
27.0,0.00449509178846739,0.3545255245850297,0.26996554963983715,0.3755089257751331,0.006243365578090996
40.0,0.0069528990224476,0.2890698402756029,0.40009395552771687,0.31083620419668023,0.006922358312844212
26.0,0.0043252962685834,0.35937989351706856,0.26010021922956467,0.3805198872533667,0.00826808316958876
41.0,0.007139014960073435,0.28374569370497965,0.40995928593798936,0.306295020357031,0.009061540985086944
25.0,0.00415429202220095,0.3651738177262762,0.2500782962730974,0.38474788600062637,0.010588673868256347
42.0,0.00731612580014303,0.2790479173191356,0.4199812088944566,0.30097087378640774,0.01150208951901682
24.0,0.003995646259153159,0.36924522392734105,0.24005637331663013,0.3906984027560288,0.013281006345864297
43.0,0.00748724028537901,0.2745067334794864,0.43000313185092387,0.29549013466958973,0.014237726480899741
23.0,0.0038071758375426,0.3739430003131851,0.23003445036016285,0.39602254932665204,0.0162497420775762
44.0,0.00769397739412272,0.26918258690886315,0.4400250548073912,0.29079235828374567,0.01730817625608425
22.0,0.00364046126431452,0.3786407766990291,0.2200125274036956,0.4013466958972753,0.019520186968132573
45.0,0.0078705612453461,0.26479799561540873,0.45004697776385844,0.28515502662073283,0.020640316550058428
21.0,0.0034723978911208398,0.3836517381772628,0.2099906044472283,0.40635765737550894,0.023077922536925453
20.0,0.003288635680875,0.3886626996554964,0.20012527403695585,0.4112120263075478,0.02687081665849129
19.0,0.0031236216031852405,0.3935170685875352,0.19010335108048856,0.4163795803319762,0.031033588945857688
18.0,0.00295261467652052,0.39837143751957405,0.1800814281240213,0.4215471343564046,0.03549777613736227
17.0,0.002785656143616965,0.4022862511744441,0.17005950516755403,0.42765424365800186,0.04030928196718557
16.0,0.0026174175289558,0.40792358283745694,0.16003758221108674,0.4320388349514563,0.04533789872779632
15.0,0.002458993111953025,0.4135609145004698,0.1500156592546195,0.43642342624491076,0.05066940166607669
14.0,0.0022996417541024804,0.4171625430629502,0.1399937362981522,0.4428437206388976,0.056400061113433
13.0,0.0021000566585771003,0.42264328217976826,0.13012840588787974,0.447228311932352,0.062240575651135804
12.0,0.00195402186760102,0.4265580958346383,0.12010648293141246,0.45333542123394927,0.068557047176255
11.0,0.001775535056146035,0.4307860945818979,0.11008455997494519,0.4591293454431569,0.07516169214372957
10.0,0.0015967069676485,0.43517068587535235,0.10006263701847792,0.46476667710616976,0.08206078798729356
