percentile,threshold,share_down,share_same,share_up,imbalance_score
33.0,0.006145140406524872,0.3215210355987055,0.33001618122977344,0.348462783171521,0.00037943412825588334
34.0,0.00637755650968249,0.31666666666666665,0.3400485436893204,0.34328478964401293,0.00042190331060629926
32.0,0.0059535189410892,0.3261326860841424,0.3199838187702265,0.35388349514563106,0.0006523680103895011
35.0,0.00661036285248329,0.3122977346278317,0.35,0.3377022653721683,0.0007393617578366368
31.0,0.005732608654751636,0.3301779935275081,0.3100323624595469,0.359789644012945,0.001252827787727403
36.0,0.006823483548821844,0.3070388349514563,0.36003236245954695,0.33292880258899676,0.0014044024465600512
30.0,0.00550507129680747,0.3346278317152104,0.3,0.36537216828478963,0.002139273782218452
37.0,0.00700731386154038,0.3025080906148867,0.3699838187702265,0.3275080906148867,0.002327387124139881
29.0,0.005333201521101748,0.3395631067961165,0.29004854368932037,0.3703883495145631,0.0032854573161152506
38.0,0.007227214413917444,0.297411003236246,0.3800161812297735,0.3225728155339806,0.003585490830636462
28.0,0.005129690296678516,0.34377022653721684,0.28001618122977345,0.3762135922330097,0.004790364051486685
39.0,0.007463670809292909,0.29271844660194174,0.3900485436893204,0.31723300970873786,0.005125404530744338
27.0,0.004965153197099839,0.34878640776699027,0.26998381877022654,0.3812297734627832,0.006546027481907397
40.0,0.007686314380677861,0.288915857605178,0.4,0.311084142394822,0.006912383091924048
26.0,0.004774985642197792,0.35396440129449835,0.2600323624595469,0.3860032362459547,0.008572791969082852
41.0,0.007911723615848559,0.28454692556634303,0.41003236245954694,0.30542071197411,0.009041969082854184
25.0,0.0045642118068993,0.3593851132686084,0.25,0.3906148867313916,0.010904316041935046
42.0,0.008128220357904338,0.28050161812297736,0.41998381877022656,0.29951456310679614,0.011443205978152723
24.0,0.004368314378204223,0.3641585760517799,0.24004854368932038,0.3957928802588997,0.013553442569725918
43.0,0.008366815707083546,0.2759708737864078,0.4300161812297735,0.29401294498381875,0.014184117782595493
23.0,0.0041736290834906604,0.3691747572815534,0.23001618122977346,0.4008090614886731,0.016512015479519485
44.0,0.008613396481912087,0.2720873786407767,0.4399676375404531,0.2879449838187702,0.0171820440715954
22.0,0.004003271215574766,0.37402912621359224,0.21998381877022655,0.4059870550161812,0.01978282328421361
45.0,0.008872477221604164,0.2675566343042071,0.45,0.28244336569579287,0.02052747405242928
21.0,0.003828294021165736,0.3785598705501618,0.21003236245954693,0.41140776699029125,0.023344186277898218
20.0,0.0036557893319327604,0.3838187702265372,0.2,0.4161812297734628,0.02719033106062986
19.0,0.003438511252004952,0.38972491909385115,0.1900485436893204,0.42022653721682846,0.03126097076905352
18.0,0.003256442245935072,0.3937702265372168,0.18001618122977348,0.4262135922330097,0.03578550968255464
17.0,0.003077080244932681,0.3987864077669903,0.17006472491909386,0.4311488673139159,0.04050862213424661
16.0,0.002882946701366868,0.40380258899676374,0.1600323624595469,0.4361650485436893,0.04557350415265865
15.0,0.0026698209216727553,0.40817152103559873,0.15,0.4418284789644013,0.05098306207517727
14.0,0.002510138227780584,0.41310679611650486,0.14004854368932038,0.44684466019417474,0.05660763659785717
13.0,0.002337972571437392,0.41771844660194174,0.13001618122977346,0.4522653721682848,0.06260354154229637
12.0,0.002157055205983584,0.4224919093851133,0.12006472491909385,0.45744336569579286,0.06883605115153799
11.0,0.00197149495934979,0.4279126213592233,0.11003236245954692,0.4620550161812298,0.07537783695185431
10.0,0.0018011224461578703,0.4330906148867314,0.1,0.4669093851132686,0.08223852127648433
