Date,ticker,Dividends,Dividends_Lag1,Dividends_Lag2,Dividends_Lag3,Dividends_Lag5,Dividends_Lag10,Dividends_Lag20,Return,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Return_Lag10,Return_Lag20,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,Volatility_5,ATR_5,Volatility_10,ATR_10,Volatility_20,ATR_20,RSI_14,MACD,MACD_Signal,MACD_Diff,Volume_MA_20,Volume_Ratio,BB_Middle,BB_Upper,BB_Lower,BB_Width,Sentiment,Sentiment_Lag1,Sentiment_Lag2,Sentiment_Lag3,Sentiment_Lag5,Sentiment_Lag10,Sentiment_Lag20,VIX,VIX_Lag1,VIX_Lag2,VIX_Lag3,VIX_Lag5,VIX_Lag10,VIX_Lag20,net_income,total_revenue,operating_income,total_assets,total_equity,total_debt,current_assets,current_liabilities,cash_equivalents,shares_outstanding,free_cash_flow,operating_cash_flow,roe,roa,op_margin,debt_to_equity,liquidity_ratio,current_ratio,free_cf_margin,ocf_to_assets,prev_revenue,revenue_growth,market_cap,log_mktcap,book_to_market,GDP_GDP_SA_PC_QOQ,GDP_GDP_SA_PC_YOY,GDP_GDP_NSA_PC_QOQ,GDP_GDP_NSA_PC_YOY,IPI_IPI,IPI_IPI_YOY,IPI_IPI_QOQ,IPI_IPI_SA,IPI_IPI_SA_YOY,IPI_IPI_SA_QOQ,IPI_Unnamed: 7,UNEMP_UNRATE,UNEMP_UNRATE_PC1,UNEMP_UNRATE_PCH,UNEMP_UNRATENSA,UNEMP_UNRATENSA_PC1,UNEMP_UNRATENSA_PCH
2020-01-02,IFF,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,IFF,0.0,0.0,,,,,,-0.009408230026189623,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,IFF,0.0,0.0,0.0,,,,,-0.006568896616394371,-0.009408230026189623,,,,,,,,,,,,,,,,,,-0.08200325381721996,-0.01640065076344399,-0.06560260305377597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,IFF,0.0,0.0,0.0,0.0,,,,-0.0016729860715288813,-0.006568896616394371,-0.009408230026189623,,,,,,,,,,,,,,,,,-0.2020329219731991,-0.053527105005395016,-0.1485058169678041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,IFF,0.0,0.0,0.0,0.0,,,,-0.009336816447443885,-0.0016729860715288813,-0.006568896616394371,-0.009408230026189623,,,,,,,,,,,,,,,,-0.3081207603043197,-0.10444583606517996,-0.20367492423913972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,IFF,0.0,0.0,0.0,0.0,0.0,,,-0.004027716775318324,-0.009336816447443885,-0.0016729860715288813,-0.006568896616394371,,,,107.74140930175781,,,,,,1.6464398897735293,,,,,,-0.4676782853717327,-0.17709232592649052,-0.29058595944524224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,IFF,0.0,0.0,0.0,0.0,0.0,,,0.019006678875037375,-0.004027716775318324,-0.009336816447443885,-0.0016729860715288813,-0.009408230026189623,,,107.07152862548828,,,,,0.0033719826755040537,1.6053222030200573,,,,,,-0.6215255905102453,-0.2659789788432415,-0.35554661166700374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,IFF,0.0,0.0,0.0,0.0,0.0,,,0.010873783607592058,0.019006678875037375,-0.004027716775318324,-0.009336816447443885,-0.006568896616394371,,,107.00985412597656,,,,,0.01128328458689816,1.733816301578085,,,,,,-0.5743922112931443,-0.3276616253332221,-0.24673058595992226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,IFF,0.0,0.0,0.0,0.0,0.0,,,0.015232634282231317,0.010873783607592058,0.019006678875037375,-0.004027716775318324,-0.0016729860715288813,,,107.32509002685546,,,,,0.011636450763613993,1.9411185167312623,,,,,,-0.43730055190202677,-0.349589410646983,-0.08771114125504376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,IFF,0.0,0.0,0.0,0.0,0.0,,,0.004949654155159466,0.015232634282231317,0.010873783607592058,0.019006678875037375,-0.009336816447443885,,,108.00867919921875,,,,,0.012382755603841215,2.1244353534809735,,,,,,-0.19233741130729243,-0.31813901077904494,0.1258015994717525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
