Date,ticker,Dividends,Dividends_Lag1,Dividends_Lag2,Dividends_Lag3,Dividends_Lag5,Dividends_Lag10,Dividends_Lag20,Return,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Return_Lag10,Return_Lag20,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,Volatility_5,ATR_5,Volatility_10,ATR_10,Volatility_20,ATR_20,RSI_14,MACD,MACD_Signal,MACD_Diff,Volume_MA_20,Volume_Ratio,BB_Middle,BB_Upper,BB_Lower,BB_Width,Sentiment,Sentiment_Lag1,Sentiment_Lag2,Sentiment_Lag3,Sentiment_Lag5,Sentiment_Lag10,Sentiment_Lag20,VIX,VIX_Lag1,VIX_Lag2,VIX_Lag3,VIX_Lag5,VIX_Lag10,VIX_Lag20,net_income,total_revenue,operating_income,total_assets,total_equity,total_debt,current_assets,current_liabilities,cash_equivalents,shares_outstanding,free_cash_flow,operating_cash_flow,roe,roa,op_margin,debt_to_equity,liquidity_ratio,current_ratio,free_cf_margin,ocf_to_assets,prev_revenue,revenue_growth,market_cap,log_mktcap,book_to_market,GDP_GDP_SA_PC_QOQ,GDP_GDP_SA_PC_YOY,GDP_GDP_NSA_PC_QOQ,GDP_GDP_NSA_PC_YOY,IPI_IPI,IPI_IPI_YOY,IPI_IPI_QOQ,IPI_IPI_SA,IPI_IPI_SA_YOY,IPI_IPI_SA_QOQ,IPI_Unnamed: 7,UNEMP_UNRATE,UNEMP_UNRATE_PC1,UNEMP_UNRATE_PCH,UNEMP_UNRATENSA,UNEMP_UNRATENSA_PC1,UNEMP_UNRATENSA_PCH
2020-01-02,AES,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,AES,0.0,0.0,,,,,,-0.011482778289655049,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,AES,0.0,0.0,0.0,,,,,0.011616164126900586,-0.011482778289655049,,,,,,,,,,,,,,,,,,-0.014754520861849585,-0.0029509041723699172,-0.011803616689479667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,AES,0.0,0.0,0.0,0.0,,,,0.0034946324732967327,0.011616164126900586,-0.011482778289655049,,,,,,,,,,,,,,,,,-0.011391667104160064,-0.004639056758727947,-0.006752610345432117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,AES,0.0,0.0,0.0,0.0,,,,-0.001989978598053943,0.0034946324732967327,0.011616164126900586,-0.011482778289655049,,,,,,,,,,,,,,,,-0.004136788780442657,-0.004538603163070889,0.0004018143826282315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,AES,0.0,0.0,0.0,0.0,0.0,,,0.009970560202724243,-0.001989978598053943,0.0034946324732967327,0.011616164126900586,,,,16.086556816101073,,,,,,0.22838436272546012,,,,,,-0.0009715354228383433,-0.00382518961502438,0.002853654192186037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,AES,0.0,0.0,0.0,0.0,0.0,,,-0.003948992299863008,0.009970560202724243,-0.001989978598053943,0.0034946324732967327,-0.011482778289655049,,,16.12354984283447,,,,,0.00942632072410084,0.2492925944802625,,,,,,0.014350055698216124,-0.00019014055237627937,0.014540196250592403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,AES,0.0,0.0,0.0,0.0,0.0,,,0.006441907648086165,-0.003948992299863008,0.009970560202724243,-0.001989978598053943,0.011616164126900586,,,16.18466682434082,,,,,0.006943129036690279,0.23160082193271414,,,,,,0.021058187268582884,0.004059525011815553,0.01699866225676733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,AES,0.0,0.0,0.0,0.0,0.0,,,0.004431272533712782,0.006441907648086165,-0.003948992299863008,0.009970560202724243,0.0034946324732967327,,,16.229700088500977,,,,,0.0057804742041152974,0.2283840817613843,,,,,,0.03441322951023906,0.010130265911500257,0.024282963598738806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,AES,0.0,0.0,0.0,0.0,0.0,,,0.0029411874132945215,0.004431272533712782,0.006441907648086165,-0.003948992299863008,-0.001989978598053943,,,16.277950286865234,,,,,0.005823884989548926,0.22355866618321868,,,,,,0.050257860071010185,0.018155784743402244,0.03210207532760794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
