feature,coef_down,coef_same,coef_up,max_abs_coef,sector_slug,feature_type,all_zero,n_nonzero_classes,var
ticker__ticker_APD,0.0,0.0918134483332422,-0.2574730169275513,0.2574730169275513,basic_materials,ticker_fe,False,2,ticker__ticker_APD
num__roa,0.0,0.2523559915074028,-0.0226217874773039,0.2523559915074028,basic_materials,numeric,False,2,roa
ticker__ticker_LYB,0.2436934519268113,0.0,-0.0479442036139993,0.2436934519268113,basic_materials,ticker_fe,False,2,ticker__ticker_LYB
num__VIX_Lag10,-0.2295743651489223,0.0818666180369941,0.0,0.2295743651489223,basic_materials,numeric,False,2,VIX_Lag10
num__debt_to_equity,-0.2174357650231036,0.0413395537727169,0.0130383059124651,0.2174357650231036,basic_materials,numeric,False,3,debt_to_equity
num__roe,0.0,-0.2093069558631121,0.110580303947476,0.2093069558631121,basic_materials,numeric,False,2,roe
ticker__ticker_NUE,0.0,-0.1063523947036721,0.2022049693919707,0.2022049693919707,basic_materials,ticker_fe,False,2,ticker__ticker_NUE
num__IPI_IPI_QOQ,0.180296411248383,0.0,-0.1278990460694649,0.180296411248383,basic_materials,numeric,False,2,IPI_IPI_QOQ
ticker__ticker_EMN,0.1493164669660278,0.0,-0.1727473368863502,0.1727473368863502,basic_materials,ticker_fe,False,2,ticker__ticker_EMN
ticker__ticker_MOS,-0.1212741367128007,0.0,0.1675271056142258,0.1675271056142258,basic_materials,ticker_fe,False,2,ticker__ticker_MOS
num__IPI_IPI_SA,-0.1474217511133431,0.0,0.1653270939407051,0.1653270939407051,basic_materials,numeric,False,2,IPI_IPI_SA
ticker__ticker_IFF,0.0,0.1582130251861516,-0.0697319341824884,0.1582130251861516,basic_materials,ticker_fe,False,2,ticker__ticker_IFF
ticker__ticker_ALB,0.0,-0.1471687834648189,0.1400854893517987,0.1471687834648189,basic_materials,ticker_fe,False,2,ticker__ticker_ALB
num__VIX_Lag20,0.1408280398481817,0.0,-0.0715055192871739,0.1408280398481817,basic_materials,numeric,False,2,VIX_Lag20
num__Return_Lag20,-0.0440024338496764,0.0,0.1362150687375775,0.1362150687375775,basic_materials,numeric,False,2,Return_Lag20
num__VIX_Lag5,0.0,0.004295831290085,-0.1270766731082871,0.1270766731082871,basic_materials,numeric,False,2,VIX_Lag5
num__ocf_to_assets,-0.1239389896570478,0.0208190893042082,0.0,0.1239389896570478,basic_materials,numeric,False,2,ocf_to_assets
num__current_ratio,-0.0464755150713828,0.123747000466272,0.0,0.123747000466272,basic_materials,numeric,False,2,current_ratio
num__free_cf_margin,0.1068942182019686,-0.0278503779285328,0.0,0.1068942182019686,basic_materials,numeric,False,2,free_cf_margin
num__op_margin,0.0,0.1039557251180931,-0.0619805327228838,0.1039557251180931,basic_materials,numeric,False,2,op_margin
ticker__ticker_PPG,0.0,0.1007097376244966,-0.0455333189953225,0.1007097376244966,basic_materials,ticker_fe,False,2,ticker__ticker_PPG
ticker__ticker_DD,-0.0916195324762285,0.0,0.0102086800722416,0.0916195324762285,basic_materials,ticker_fe,False,2,ticker__ticker_DD
num__Sentiment_Lag2,-0.0912366385222466,0.0162530014313803,0.0,0.0912366385222466,basic_materials,numeric,False,2,Sentiment_Lag2
num__Sentiment_Lag1_cubic,0.0188491640869411,0.0,-0.0830126640906564,0.0830126640906564,basic_materials,numeric,False,2,Sentiment_Lag1_cubic
ticker__ticker_MLM,0.0,-0.0712558085793206,0.018694968775388,0.0712558085793206,basic_materials,ticker_fe,False,2,ticker__ticker_MLM
num__Sentiment_Lag20,0.0665429884100368,0.0,-0.0604110592848253,0.0665429884100368,basic_materials,numeric,False,2,Sentiment_Lag20
num__Return_Lag1,0.0376266457494808,0.0,-0.0651021181510305,0.0651021181510305,basic_materials,numeric,False,2,Return_Lag1
num__Sentiment_Lag5,-0.0628159750942259,0.0,0.0102243227924952,0.0628159750942259,basic_materials,numeric,False,2,Sentiment_Lag5
num__Return_Lag2,0.0041530030852436,0.0,-0.0569458280267576,0.0569458280267576,basic_materials,numeric,False,2,Return_Lag2
num__Sentiment_Lag1,-0.0532562455903515,0.0,0.0236615238523454,0.0532562455903515,basic_materials,numeric,False,2,Sentiment_Lag1
num__liquidity_ratio,0.0504789422009059,-0.0475598899294818,0.0,0.0504789422009059,basic_materials,numeric,False,2,liquidity_ratio
num__Return_Lag10,-0.0489380976777289,0.0,0.0412316436187323,0.0489380976777289,basic_materials,numeric,False,2,Return_Lag10
num__Return_Lag5,0.0,0.0465946340870278,-0.0349329640390792,0.0465946340870278,basic_materials,numeric,False,2,Return_Lag5
num__IPI_IPI_SA_QOQ,0.0432098733559339,0.0,0.0,0.0432098733559339,basic_materials,numeric,False,1,IPI_IPI_SA_QOQ
num__Return_Lag3,0.0409164720499793,-0.0046389489594598,0.0,0.0409164720499793,basic_materials,numeric,False,2,Return_Lag3
num__Sentiment_Lag10,0.0344654473375619,0.0,-0.0044368425345459,0.0344654473375619,basic_materials,numeric,False,2,Sentiment_Lag10
num__Sentiment_Lag3,0.0328659527829776,-0.0237948050244713,0.0,0.0328659527829776,basic_materials,numeric,False,2,Sentiment_Lag3
num__Sentiment_Lag1_squared,0.0144041288544398,-0.0319649724527157,0.0,0.0319649724527157,basic_materials,numeric,False,2,Sentiment_Lag1_squared
num__revenue_growth,-0.0105084262424237,0.0,0.0066813908562566,0.0105084262424237,basic_materials,numeric,False,2,revenue_growth
ticker__ticker_VMC,0.0096114829215097,-0.0024475083098604,0.0,0.0096114829215097,basic_materials,ticker_fe,False,2,ticker__ticker_VMC
num__GDP_GDP_SA_PC_QOQ,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,GDP_GDP_SA_PC_QOQ
num__GDP_GDP_NSA_PC_YOY,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,GDP_GDP_NSA_PC_YOY
num__GDP_GDP_NSA_PC_QOQ,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,GDP_GDP_NSA_PC_QOQ
num__GDP_GDP_SA_PC_YOY,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,GDP_GDP_SA_PC_YOY
num__UNEMP_UNRATE_PCH,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,UNEMP_UNRATE_PCH
num__IPI_IPI_YOY,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,IPI_IPI_YOY
num__UNEMP_UNRATENSA,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,UNEMP_UNRATENSA
num__UNEMP_UNRATENSA_PC1,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,UNEMP_UNRATENSA_PC1
num__UNEMP_UNRATENSA_PCH,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,UNEMP_UNRATENSA_PCH
num__IPI_IPI,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,IPI_IPI
num__IPI_IPI_SA_YOY,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,IPI_IPI_SA_YOY
num__UNEMP_UNRATE,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,UNEMP_UNRATE
num__UNEMP_UNRATE_PC1,0.0,0.0,0.0,0.0,basic_materials,numeric,True,0,UNEMP_UNRATE_PC1
ticker__ticker_APP,0.5628610388050089,-0.8520489368144476,0.2094392388390719,0.8520489368144476,communication_services,ticker_fe,False,3,ticker__ticker_APP
ticker__ticker_LYV,-0.7087587436627362,0.645154161045306,0.0,0.7087587436627362,communication_services,ticker_fe,False,2,ticker__ticker_LYV
ticker__ticker_MTCH,0.2378538294870005,-0.4946916604246521,0.177333167574291,0.4946916604246521,communication_services,ticker_fe,False,3,ticker__ticker_MTCH
ticker__ticker_NWS,-0.2014074249514021,0.4804376425843237,-0.1993151648954801,0.4804376425843237,communication_services,ticker_fe,False,3,ticker__ticker_NWS
ticker__ticker_NWSA,-0.1793345259953317,0.4777783320437459,-0.2187295854200577,0.4777783320437459,communication_services,ticker_fe,False,3,ticker__ticker_NWSA
ticker__ticker_WBD,0.1609428288869629,-0.4677605833759076,0.2271920595256162,0.4677605833759076,communication_services,ticker_fe,False,3,ticker__ticker_WBD
ticker__ticker_TTD,0.4228711278096465,-0.3729088483084027,0.0,0.4228711278096465,communication_services,ticker_fe,False,2,ticker__ticker_TTD
ticker__ticker_CHTR,0.1267921888950083,-0.3531393887818621,0.1466410587629811,0.3531393887818621,communication_services,ticker_fe,False,3,ticker__ticker_CHTR
ticker__ticker_FOX,-0.1436805855970329,0.290013466194344,-0.0665767323687573,0.290013466194344,communication_services,ticker_fe,False,3,ticker__ticker_FOX
ticker__ticker_VZ,-0.0629262416968039,0.2893980405870683,-0.1467432981577578,0.2893980405870683,communication_services,ticker_fe,False,3,ticker__ticker_VZ
ticker__ticker_FOXA,-0.201190437988674,0.2618275049190079,0.0,0.2618275049190079,communication_services,ticker_fe,False,2,ticker__ticker_FOXA
