var,sectors_total,mean_max_abs_coef,median_max_abs_coef,max_max_abs_coef,min_max_abs_coef,zero_in_sectors,active_in_sectors,mean_n_nonzero_classes,zero_sector_pct
VIX_Lag3,11,0.3290442271139181,0.3051571864900878,0.4597626294412036,0.1832912048203987,0,11,2.5454545454545454,0.0
VIX_Lag1,11,0.2744808452260278,0.2328033390481695,0.4359240945408454,0.1692539852802891,0,11,2.6363636363636362,0.0
VIX_Lag2,11,0.26437682352292086,0.2838031858762452,0.364317840664578,0.1134218650473834,0,11,2.4545454545454546,0.0
debt_to_equity,11,0.16574560729019686,0.1468975003817385,0.4203315113034691,0.0309584643330189,0,11,2.6363636363636362,0.0
VIX_Lag5,11,0.14398077047950156,0.1270766731082871,0.2995203975777739,0.050927031838419,0,11,2.272727272727273,0.0
IPI_IPI_QOQ,11,0.12468939401547438,0.143547859383882,0.1992215687345803,0.0154043302193466,0,11,2.272727272727273,0.0
roe,11,0.12465934150791438,0.1304981863582882,0.2093069558631121,0.0186482810453941,0,11,2.3636363636363638,0.0
VIX_Lag10,11,0.10926855365608573,0.1051569472076656,0.2295743651489223,0.0457271715385131,0,11,2.1818181818181817,0.0
op_margin,11,0.10400127016170364,0.0878928368959644,0.2097216651126305,0.0400957002826317,0,11,2.3636363636363638,0.0
roa,11,0.10030228240572264,0.0839687945124605,0.2523559915074028,0.0350325608878331,0,11,2.1818181818181817,0.0
current_ratio,11,0.09573835228262345,0.0887308534562871,0.2048937135104841,0.0,1,10,2.090909090909091,0.09090909090909091
IPI_IPI_SA,11,0.09441560552116557,0.0966346233467598,0.1653270939407051,0.0434051180273643,0,11,2.1818181818181817,0.0
VIX_Lag20,11,0.08559276895636647,0.0743984206611383,0.23578615404058,0.0066738325813166,0,11,2.272727272727273,0.0
free_cf_margin,11,0.07340634458711054,0.0611414882024474,0.2623731005470264,0.0148563559291526,0,11,2.0,0.0
Return_Lag1,11,0.0665964857834718,0.0732959801076059,0.1317747299228039,0.0248765559701621,0,11,1.9090909090909092,0.0
Return_Lag2,11,0.0664423460855661,0.0569458280267576,0.0958300369276984,0.0347748844616217,0,11,2.3636363636363638,0.0
Return_Lag10,11,0.05932304456685506,0.0610574034071496,0.0846074381148276,0.0172376006841647,0,11,2.090909090909091,0.0
ocf_to_assets,11,0.057741150737817715,0.0427958423470309,0.1239389896570478,0.0194297135665827,0,11,2.090909090909091,0.0
liquidity_ratio,11,0.05612212609852933,0.0382584249780936,0.2416080355667594,0.0102843193238327,0,11,2.1818181818181817,0.0
Return_Lag20,11,0.0559728492483734,0.0449406711285987,0.1362150687375775,0.0226020365912769,0,11,2.090909090909091,0.0
Sentiment_Lag10,11,0.05437729421951285,0.0370592101255074,0.1317432618477759,0.0130088896776587,0,11,2.0,0.0
Sentiment_Lag20,11,0.0542405856356922,0.0665429884100368,0.084922565766417,0.01414862414476,0,11,2.1818181818181817,0.0
Return_Lag5,11,0.05200069191835596,0.0474551964387256,0.0998548298811115,0.0245401864313922,0,11,2.1818181818181817,0.0
Sentiment_Lag1_cubic,11,0.04959597918855969,0.0498996591575876,0.0830126640906564,0.0149145647953359,0,11,2.090909090909091,0.0
IPI_IPI_SA_QOQ,11,0.049549413830578586,0.0432098733559339,0.0959364891729995,0.0,2,9,1.6363636363636365,0.18181818181818182
Sentiment_Lag2,11,0.04694308721528509,0.0431657710992481,0.1067274618380886,0.0097313931917081,0,11,2.090909090909091,0.0
Sentiment_Lag1_squared,11,0.04500045522199065,0.0423390012362328,0.1222666351291545,0.0239759249866515,0,11,2.1818181818181817,0.0
Sentiment_Lag3,11,0.04378295066818659,0.0329670884190832,0.1093873043447678,0.0182392310147888,0,11,2.1818181818181817,0.0
revenue_growth,11,0.043482031949663366,0.025530742423351,0.1331866173562013,0.0064929211078305,0,11,2.1818181818181817,0.0
Sentiment_Lag1,11,0.04341945100796064,0.0532562455903515,0.0979578523470237,0.0,1,10,2.0,0.09090909090909091
Return_Lag3,11,0.04224376680266281,0.0409164720499793,0.0722787762640473,0.0234138485972203,0,11,2.090909090909091,0.0
Sentiment_Lag5,11,0.03038969814454469,0.0331221986764564,0.0628159750942259,0.0,1,10,1.9090909090909092,0.09090909090909091
GDP_GDP_SA_PC_YOY,11,0.0025812281616327637,0.0023390539851822,0.007466008103844,0.0,5,6,0.6363636363636364,0.45454545454545453
GDP_GDP_NSA_PC_YOY,11,0.0025812281616296815,0.0023390539851656,0.0074660081038674,0.0,5,6,0.6363636363636364,0.45454545454545453
GDP_GDP_SA_PC_QOQ,11,0.0025812281616199454,0.0023390539851928,0.0074660081038643,0.0,5,6,0.6363636363636364,0.45454545454545453
GDP_GDP_NSA_PC_QOQ,11,0.002581228161615091,0.0023390539851817,0.0074660081038589,0.0,5,6,0.6363636363636364,0.45454545454545453
IPI_IPI,11,0.002138381483072176,0.0,0.0235221849454314,0.0,9,2,0.2727272727272727,0.8181818181818182
IPI_IPI_SA_YOY,11,0.002057516956022463,0.0,0.0226326759751045,0.0,9,2,0.2727272727272727,0.8181818181818182
IPI_IPI_YOY,11,0.001057795561100778,0.0,0.0092068802949431,0.0,8,3,0.36363636363636365,0.7272727272727273
UNEMP_UNRATE,11,0.0,0.0,0.0,0.0,11,0,0.0,1.0
UNEMP_UNRATENSA,11,0.0,0.0,0.0,0.0,11,0,0.0,1.0
UNEMP_UNRATENSA_PC1,11,0.0,0.0,0.0,0.0,11,0,0.0,1.0
UNEMP_UNRATENSA_PCH,11,0.0,0.0,0.0,0.0,11,0,0.0,1.0
UNEMP_UNRATE_PC1,11,0.0,0.0,0.0,0.0,11,0,0.0,1.0
UNEMP_UNRATE_PCH,11,0.0,0.0,0.0,0.0,11,0,0.0,1.0
